Locality Number	Station Number	Locality Name	Address Name
30000	30	ירושלים	מגן האלף 1
30000	50	ירושלים	שבטי ישראל 27
30000	60	ירושלים	מגן האלף 1
30000	81	ירושלים	מגן האלף 3
30000	82	ירושלים	מגן האלף 3
30000	83	ירושלים	מגן האלף 3
30000	84	ירושלים	מגן האלף 3
30000	85	ירושלים	מגן האלף 3
30000	86	ירושלים	מגן האלף 3
30000	87	ירושלים	מגן האלף 3
30000	90	ירושלים	מגן האלף 1
30000	160	ירושלים	הנביאים 42
30000	170	ירושלים	הנביאים 42
30000	180	ירושלים	שבטי ישראל 27
30000	201	ירושלים	אביגדורי 4
30000	202	ירושלים	אביגדורי 4
30000	203	ירושלים	אביגדורי 4
30000	204	ירושלים	אביגדורי 4
30000	205	ירושלים	אביגדורי 4
30000	250	ירושלים	מגן האלף 1
30000	261	ירושלים	נטר 40
30000	262	ירושלים	נטר 40
30000	263	ירושלים	נטר 40
30000	264	ירושלים	נטר 40
30000	265	ירושלים	נטר 40
30000	271	ירושלים	אהלי יוסף 15
30000	272	ירושלים	אהלי יוסף 15
30000	273	ירושלים	אהלי יוסף 15
30000	274	ירושלים	אהלי יוסף 15
30000	275	ירושלים	אהלי יוסף 15
30000	301	ירושלים	ירמיהו 5
30000	302	ירושלים	ירמיהו 5
30000	303	ירושלים	ירמיהו 5
30000	304	ירושלים	ירמיהו 5
30000	305	ירושלים	ירמיהו 5
30000	331	ירושלים	מן 7
30000	332	ירושלים	מן 7
30000	333	ירושלים	מן 7
30000	334	ירושלים	מן 7
30000	335	ירושלים	מן 7
30000	336	ירושלים	מן 7
30000	340	ירושלים	הטורים 23
30000	361	ירושלים	בן לברט 15
30000	362	ירושלים	בן לברט 15
30000	363	ירושלים	בן לברט 15
30000	364	ירושלים	בן לברט 15
30000	380	ירושלים	מגן האלף 1
30000	431	ירושלים	ילין דוד 41
30000	432	ירושלים	ילין דוד 41
30000	433	ירושלים	ילין דוד 41
30000	434	ירושלים	ילין דוד 41
30000	471	ירושלים	פישל אהרן 29
30000	472	ירושלים	פישל אהרן 29
30000	473	ירושלים	פישל אהרן 29
30000	551	ירושלים	מלכי ישראל 75
30000	552	ירושלים	מלכי ישראל 75
30000	553	ירושלים	מלכי ישראל 75
30000	554	ירושלים	מלכי ישראל 75
30000	555	ירושלים	מלכי ישראל 75
30000	556	ירושלים	מלכי ישראל 75
30000	590	ירושלים	עזרת תורה 45
30000	620	ירושלים	עזרת תורה 45
30000	630	ירושלים	עזרת תורה 45
30000	640	ירושלים	עזרת תורה 45
30000	650	ירושלים	עזרת תורה 45
30000	670	ירושלים	עזרת תורה 45
30000	710	ירושלים	גדעון 14
30000	731	ירושלים	אולשוונגר 48
30000	732	ירושלים	אולשוונגר 48
30000	733	ירושלים	אולשוונגר 48
30000	741	ירושלים	"המ""ג 1"
30000	742	ירושלים	"המ""ג 1"
30000	743	ירושלים	"המ""ג 1"
30000	750	ירושלים	מגן האלף 1
30000	760	ירושלים	הנביאים 42
30000	780	ירושלים	שד שרת משה 1
30000	801	ירושלים	בית צפפה
30000	802	ירושלים	בית צפפה
30000	803	ירושלים	בית צפפה
30000	804	ירושלים	בית צפפה
30000	831	ירושלים	הלל 30
30000	832	ירושלים	הלל 30
30000	833	ירושלים	הלל 30
30000	834	ירושלים	הלל 30
30000	850	ירושלים	נרקיס 11
30000	861	ירושלים	רבי עקיבא 7
30000	862	ירושלים	רבי עקיבא 7
30000	863	ירושלים	רבי עקיבא 7
30000	871	ירושלים	הקרן הקיימת 14
30000	872	ירושלים	הקרן הקיימת 14
30000	873	ירושלים	הקרן הקיימת 14
30000	921	ירושלים	אלוף שאלתיאל 1
30000	922	ירושלים	אלוף שאלתיאל 1
30000	941	ירושלים	הלל 17
30000	942	ירושלים	הלל 17
30000	943	ירושלים	הלל 17
30000	944	ירושלים	הלל 17
