Address Name	Locality Name	Locality Number	Station Number
מגן האלף 1	ירושלים	3000	3.1
מגן האלף 1	ירושלים	3000	3.2
מגן האלף 1	ירושלים	3000	3.3
מגן האלף 1	ירושלים	3000	3.4
מגן האלף 1	ירושלים	3000	3.5
מגן האלף 1	ירושלים	3000	3.6
פישל אהרן 29	ירושלים	3000	4.1
פישל אהרן 29	ירושלים	3000	4.2
פישל אהרן 29	ירושלים	3000	4.3
פישל אהרן 29	ירושלים	3000	4.4
שבטי ישראל 27	ירושלים	3000	5.0
נטר 40	ירושלים	3000	7.0
מגן האלף 3	ירושלים	3000	8.1
מגן האלף 3	ירושלים	3000	8.2
מגן האלף 3	ירושלים	3000	8.3
מגן האלף 3	ירושלים	3000	8.4
מגן האלף 3	ירושלים	3000	8.5
מגן האלף 3	ירושלים	3000	8.6
שבטי ישראל 22	ירושלים	3000	15.1
שבטי ישראל 22	ירושלים	3000	15.2
שבטי ישראל 22	ירושלים	3000	15.3
שבטי ישראל 22	ירושלים	3000	15.4
שבטי ישראל 22	ירושלים	3000	15.5
שבטי ישראל 22	ירושלים	3000	15.6
הנביאים 42	ירושלים	3000	17.1
הנביאים 42	ירושלים	3000	17.2
הנביאים 42	ירושלים	3000	17.3
שבטי ישראל 27	ירושלים	3000	18.0
נטר 40	ירושלים	3000	26.0
אהלי יוסף 15	ירושלים	3000	27.1
אהלי יוסף 15	ירושלים	3000	27.2
אהלי יוסף 15	ירושלים	3000	27.3
אהלי יוסף 15	ירושלים	3000	27.4
אהלי יוסף 15	ירושלים	3000	27.5
ירמיהו 5	ירושלים	3000	30.1
ירמיהו 5	ירושלים	3000	30.2
ירמיהו 5	ירושלים	3000	30.3
ירמיהו 5	ירושלים	3000	30.4
ירמיהו 5	ירושלים	3000	30.5
ירמיהו 5	ירושלים	3000	30.6
בובליק גדליה 26	ירושלים	3000	31.1
בובליק גדליה 26	ירושלים	3000	31.2
בובליק גדליה 26	ירושלים	3000	31.3
בובליק גדליה 26	ירושלים	3000	31.4
בובליק גדליה 26	ירושלים	3000	31.5
מן 7	ירושלים	3000	33.1
מן 7	ירושלים	3000	33.2
מן 7	ירושלים	3000	33.3
מן 7	ירושלים	3000	33.4
מן 7	ירושלים	3000	33.5
מן 7	ירושלים	3000	33.6
שמחת כהן 32	ירושלים	3000	35.1
שמחת כהן 32	ירושלים	3000	35.2
שמחת כהן 32	ירושלים	3000	35.3
שמחת כהן 32	ירושלים	3000	35.4
קהילות יעקב 10	ירושלים	3000	37.1
קהילות יעקב 10	ירושלים	3000	37.2
קהילות יעקב 10	ירושלים	3000	37.3
קהילות יעקב 10	ירושלים	3000	37.4
קהילות יעקב 10	ירושלים	3000	37.5
ילין דוד 41	ירושלים	3000	43.1
ילין דוד 41	ירושלים	3000	43.2
ילין דוד 41	ירושלים	3000	43.3
ילין דוד 41	ירושלים	3000	43.4
מלכי ישראל 75	ירושלים	3000	44.1
מלכי ישראל 75	ירושלים	3000	44.2
מלכי ישראל 75	ירושלים	3000	44.3
מלכי ישראל 75	ירושלים	3000	44.4
הטורים 23	ירושלים	3000	53.1
הטורים 23	ירושלים	3000	53.2
הטורים 23	ירושלים	3000	53.3
הטורים 23	ירושלים	3000	53.4
עזרת תורה 45	ירושלים	3000	62.1
עזרת תורה 45	ירושלים	3000	62.2
עזרת תורה 45	ירושלים	3000	62.3
עזרת תורה 45	ירושלים	3000	62.4
עזרת תורה 45	ירושלים	3000	62.5
עזרת תורה 45	ירושלים	3000	62.6
סורוצקין 40	ירושלים	3000	66.1
סורוצקין 40	ירושלים	3000	66.2
סורוצקין 40	ירושלים	3000	66.3
סורוצקין 40	ירושלים	3000	66.4
סורוצקין 40	ירושלים	3000	66.5
סורוצקין 40	ירושלים	3000	66.6
ראשון לציון 7	ירושלים	3000	68.1
ראשון לציון 7	ירושלים	3000	68.2
ראשון לציון 7	ירושלים	3000	68.3
ראשון לציון 7	ירושלים	3000	68.4
ראשון לציון 7	ירושלים	3000	68.5
המעיין 2	ירושלים	3000	69.0
