Address Name	Locality Name	Locality Number	Station Number
אביגדורי 4	ירושלים	3000	81.1
אביגדורי 4	ירושלים	3000	81.2
אביגדורי 4	ירושלים	3000	81.3
אביגדורי 4	ירושלים	3000	81.4
אביגדורי 4	ירושלים	3000	81.5
הלל 30	ירושלים	3000	83.1
הלל 30	ירושלים	3000	83.2
הלל 30	ירושלים	3000	83.3
הלל 17	ירושלים	3000	84.1
הלל 17	ירושלים	3000	84.2
הלל 17	ירושלים	3000	84.3
הלל 17	ירושלים	3000	84.4
נרקיס 11	ירושלים	3000	85.0
הקרן הקיימת 14	ירושלים	3000	87.1
הקרן הקיימת 14	ירושלים	3000	87.2
הקרן הקיימת 14	ירושלים	3000	87.3
רבי עקיבא 7	ירושלים	3000	89.1
רבי עקיבא 7	ירושלים	3000	89.2
רבי עקיבא 7	ירושלים	3000	89.3
רבי עקיבא 7	ירושלים	3000	89.4
שמעון הצדיק 23	ירושלים	3000	120.1
שמעון הצדיק 23	ירושלים	3000	120.2
שמעון הצדיק 23	ירושלים	3000	120.3
שמעון הצדיק 23	ירושלים	3000	120.4
שמעון הצדיק 23	ירושלים	3000	120.5
שמעון הצדיק 23	ירושלים	3000	120.6
נטר 40	ירושלים	3000	121.0
יצחק אלחנן 4	ירושלים	3000	134.1
יצחק אלחנן 4	ירושלים	3000	134.2
יצחק אלחנן 4	ירושלים	3000	134.3
יצחק אלחנן 4	ירושלים	3000	134.4
יצחק אלחנן 4	ירושלים	3000	134.5
הגדוד העברי 22	ירושלים	3000	149.1
הגדוד העברי 22	ירושלים	3000	149.2
הגדוד העברי 22	ירושלים	3000	149.3
הגדוד העברי 22	ירושלים	3000	149.4
בן לברט 15	ירושלים	3000	150.1
בן לברט 15	ירושלים	3000	150.2
בן לברט 15	ירושלים	3000	150.3
בן לברט 15	ירושלים	3000	150.4
בן לברט 15	ירושלים	3000	150.5
בן לברט 15	ירושלים	3000	150.6
אוסישקין 38	ירושלים	3000	165.1
אוסישקין 38	ירושלים	3000	165.2
אוסישקין 38	ירושלים	3000	165.3
אוסישקין 38	ירושלים	3000	165.4
הרב והרבנית קאפח 20	ירושלים	3000	188.1
הרב והרבנית קאפח 20	ירושלים	3000	188.2
הרב והרבנית קאפח 20	ירושלים	3000	188.3
הרב והרבנית קאפח 20	ירושלים	3000	188.4
הרב והרבנית קאפח 20	ירושלים	3000	188.5
נרקיס 11	ירושלים	3000	193.0
אהל משה 42	ירושלים	3000	197.0
אהל משה 42	ירושלים	3000	198.0
אלוף שאלתיאל 1	ירושלים	3000	201.1
אלוף שאלתיאל 1	ירושלים	3000	201.2
אלוף שאלתיאל 1	ירושלים	3000	201.3
שיריזלי 6	ירושלים	3000	203.0
אהל משה 42	ירושלים	3000	204.0
אהל משה 42	ירושלים	3000	206.0
מנחם מנדל משקלוב 24	ירושלים	3000	207.1
מנחם מנדל משקלוב 24	ירושלים	3000	207.2
ישעיהו 7	ירושלים	3000	208.1
ישעיהו 7	ירושלים	3000	208.2
ישעיהו 7	ירושלים	3000	208.3
ישעיהו 7	ירושלים	3000	208.4
ישעיהו 7	ירושלים	3000	208.5
ישעיהו 7	ירושלים	3000	208.6
זכרון יעקב 5	ירושלים	3000	209.1
זכרון יעקב 5	ירושלים	3000	209.2
זכרון יעקב 5	ירושלים	3000	209.3
הרב אבן דנן 30	ירושלים	3000	212.0
החלוץ 47	ירושלים	3000	213.1
החלוץ 47	ירושלים	3000	213.2
החלוץ 47	ירושלים	3000	213.3
החלוץ 47	ירושלים	3000	213.4
החלוץ 47	ירושלים	3000	213.5
שחר 19	ירושלים	3000	214.0
הרב אבן דנן 30	ירושלים	3000	217.0
הרב אבן דנן 30	ירושלים	3000	218.0
שמואל הנביא 85	ירושלים	3000	220.1
שמואל הנביא 85	ירושלים	3000	220.2
שמואל הנביא 85	ירושלים	3000	220.3
שמואל הנביא 85	ירושלים	3000	220.4
שמואל הנביא 85	ירושלים	3000	220.5
בן ציון 24	ירושלים	3000	222.1
בן ציון 24	ירושלים	3000	222.2
בן ציון 24	ירושלים	3000	222.3
ויטל חיים 32	ירושלים	3000	224.1
ויטל חיים 32	ירושלים	3000	224.2
ויטל חיים 32	ירושלים	3000	224.3
ויטל חיים 32	ירושלים	3000	224.4
ויטל חיים 32	ירושלים	3000	224.5
זכרון יעקב 3	ירושלים	3000	225.1
זכרון יעקב 3	ירושלים	3000	225.2
זכרון יעקב 3	ירושלים	3000	225.3
בן לברט 15	ירושלים	3000	228.1
בן לברט 15	ירושלים	3000	228.2
בן לברט 15	ירושלים	3000	228.3
בן לברט 15	ירושלים	3000	228.4
הקבלן 8	ירושלים	3000	237.1
הקבלן 8	ירושלים	3000	237.2
הקבלן 8	ירושלים	3000	237.3
סורוצקין 38 א	ירושלים	3000	239.1
סורוצקין 38 א	ירושלים	3000	239.2
סורוצקין 38 א	ירושלים	3000	239.3
"המ""ג 1"	ירושלים	3000	242.1
"המ""ג 1"	ירושלים	3000	242.2
"המ""ג 1"	ירושלים	3000	242.3
נג'ארה 27	ירושלים	3000	249.1
נג'ארה 27	ירושלים	3000	249.2
נג'ארה 27	ירושלים	3000	249.3
נג'ארה 27	ירושלים	3000	249.4
נג'ארה 27	ירושלים	3000	249.5
הרב טייב חי 46	ירושלים	3000	253.0
הרב אבן דנן 30	ירושלים	3000	254.0
הרב אבן דנן 30	ירושלים	3000	256.0
הרב טייב חי 46	ירושלים	3000	258.1
הרב טייב חי 46	ירושלים	3000	258.2
הרב טייב חי 46	ירושלים	3000	258.3
הרב טייב חי 46	ירושלים	3000	258.4
התומר 5	ירושלים	3000	260.1
התומר 5	ירושלים	3000	260.2
התומר 5	ירושלים	3000	260.3
התומר 5	ירושלים	3000	260.4
התומר 5	ירושלים	3000	260.5
שחר 19	ירושלים	3000	261.0
חכמי יוסף 28 א	ירושלים	3000	264.1
חכמי יוסף 28 א	ירושלים	3000	264.2
חכמי יוסף 28 א	ירושלים	3000	264.3
חכמי יוסף 28 א	ירושלים	3000	264.4
חכמי יוסף 28 א	ירושלים	3000	264.5
שד הרצל 137	ירושלים	3000	267.1
שד הרצל 137	ירושלים	3000	267.2
שד הרצל 137	ירושלים	3000	267.3
שד הרצל 137	ירושלים	3000	267.4
שד הרצל 137	ירושלים	3000	267.5
שד הרצל 137	ירושלים	3000	267.6
בן ציון 7	ירושלים	3000	269.1
בן ציון 7	ירושלים	3000	269.2
בן ציון 7	ירושלים	3000	269.3
בן ציון 7	ירושלים	3000	269.4
בן ציון 7	ירושלים	3000	269.5
בזל 3	ירושלים	3000	271.1
בזל 3	ירושלים	3000	271.2
בזל 3	ירושלים	3000	271.3
בזל 3	ירושלים	3000	271.4
בזל 3	ירושלים	3000	271.5
מעגל בית המדרש 8	ירושלים	3000	274.1
מעגל בית המדרש 8	ירושלים	3000	274.2
מעגל בית המדרש 8	ירושלים	3000	274.3
שחר 19	ירושלים	3000	275.0
הפסגה 24	ירושלים	3000	285.1
הפסגה 24	ירושלים	3000	285.2
הפסגה 24	ירושלים	3000	285.3
הפסגה 24	ירושלים	3000	285.4
תורה ועבודה 6	ירושלים	3000	294.1
תורה ועבודה 6	ירושלים	3000	294.2
תורה ועבודה 6	ירושלים	3000	294.3
תורה ועבודה 6	ירושלים	3000	294.4
שד הרצל 137	ירושלים	3000	296.1
שד הרצל 137	ירושלים	3000	296.2
שד הרצל 137	ירושלים	3000	296.3
שד הרצל 137	ירושלים	3000	296.4
דולצ'ין 21	ירושלים	3000	301.1
דולצ'ין 21	ירושלים	3000	301.2
דולצ'ין 21	ירושלים	3000	301.3
דולצ'ין 21	ירושלים	3000	301.4
דולצ'ין 21	ירושלים	3000	301.5
דולצ'ין 21	ירושלים	3000	301.6
קוסטה ריקה 17	ירושלים	3000	305.1
קוסטה ריקה 17	ירושלים	3000	305.2
קוסטה ריקה 17	ירושלים	3000	305.3
קוסטה ריקה 17	ירושלים	3000	305.4
האייל 72	ירושלים	3000	307.1
האייל 72	ירושלים	3000	307.2
האייל 72	ירושלים	3000	307.3
האייל 72	ירושלים	3000	307.4
החרצית 10	ירושלים	3000	308.1
החרצית 10	ירושלים	3000	308.2
החרצית 10	ירושלים	3000	308.3
החרצית 10	ירושלים	3000	308.4
הרפוב הדומיניקנית 3	ירושלים	3000	309.1
הרפוב הדומיניקנית 3	ירושלים	3000	309.2
אולשוונגר 48	ירושלים	3000	310.1
אולשוונגר 48	ירושלים	3000	310.2
אולשוונגר 48	ירושלים	3000	310.3
אולשוונגר 3	ירושלים	3000	312.1
אולשוונגר 3	ירושלים	3000	312.2
אולשוונגר 3	ירושלים	3000	312.3
אולשוונגר 3	ירושלים	3000	312.4
אולשוונגר 3	ירושלים	3000	312.5
בורוכוב 9 א	ירושלים	3000	319.1
בורוכוב 9 א	ירושלים	3000	319.2
בורוכוב 9 א	ירושלים	3000	319.3
זנגויל 25	ירושלים	3000	321.1
זנגויל 25	ירושלים	3000	321.2
זנגויל 25	ירושלים	3000	321.3
המעיין 2	ירושלים	3000	322.0
המעיין 2	ירושלים	3000	323.0
דהומיי 7	ירושלים	3000	326.0
הנורית 18	ירושלים	3000	327.1
הנורית 18	ירושלים	3000	327.2
הנורית 18	ירושלים	3000	327.3
הנורית 18	ירושלים	3000	327.4
צ'ילה 8	ירושלים	3000	328.0
צ'ילה 8	ירושלים	3000	330.0
גרינולד 8	ירושלים	3000	331.0
וולטה העלית 12	ירושלים	3000	333.1
וולטה העלית 12	ירושלים	3000	333.2
וולטה העלית 12	ירושלים	3000	333.3
וולטה העלית 12	ירושלים	3000	333.4
וולטה העלית 12	ירושלים	3000	333.5
וולטה העלית 12	ירושלים	3000	333.6
גרינולד 8	ירושלים	3000	334.0
רקם 2	ירושלים	3000	335.1
רקם 2	ירושלים	3000	335.2
דהומיי 6	ירושלים	3000	336.0
דהומיי 6	ירושלים	3000	337.0
שטרן אברהם 3	ירושלים	3000	341.0
שד שרת משה 1	ירושלים	3000	346.1
שד שרת משה 1	ירושלים	3000	346.2
שד שרת משה 1	ירושלים	3000	349.1
שד שרת משה 1	ירושלים	3000	349.2
שד שרת משה 1	ירושלים	3000	349.3
שד שרת משה 1	ירושלים	3000	349.4
שד שרת משה 1	ירושלים	3000	349.5
שד שרת משה 1	ירושלים	3000	349.6
שטרן אברהם 3	ירושלים	3000	350.0
גרינולד 8	ירושלים	3000	358.0
שד דב יוסף 2	ירושלים	3000	362.1
שד דב יוסף 2	ירושלים	3000	362.2
שד דב יוסף 2	ירושלים	3000	362.3
מרגולין 3	ירושלים	3000	364.1
מרגולין 3	ירושלים	3000	364.2
מרגולין 3	ירושלים	3000	364.3
בר יוחאי 53	ירושלים	3000	366.0
רבי צדוק 12	ירושלים	3000	367.1
רבי צדוק 12	ירושלים	3000	367.2
רבי צדוק 12	ירושלים	3000	367.3
בר יוחאי 53	ירושלים	3000	369.0
בעהם אריה 7	ירושלים	3000	370.0
ש פת 3	ירושלים	3000	372.0
אליעזר הגדול 4	ירושלים	3000	373.0
יוחנן בן זכאי 33	ירושלים	3000	376.1
יוחנן בן זכאי 33	ירושלים	3000	376.2
יוחנן בן זכאי 33	ירושלים	3000	376.3
יוחנן בן זכאי 33	ירושלים	3000	376.4
יוחנן בן זכאי 33	ירושלים	3000	376.5
יהודה הנשיא 26	ירושלים	3000	385.1
יהודה הנשיא 26	ירושלים	3000	385.2
יהודה הנשיא 26	ירושלים	3000	385.3
יהודה הנשיא 26	ירושלים	3000	385.4
בעהם אריה 7	ירושלים	3000	386.0
אליעזר הגדול 4	ירושלים	3000	387.0
רבי חייא 3	ירושלים	3000	388.1
רבי חייא 3	ירושלים	3000	388.2
רבי חייא 3	ירושלים	3000	388.3
רבי חייא 3	ירושלים	3000	388.4
הורקניה 21	ירושלים	3000	392.1
הורקניה 21	ירושלים	3000	392.2
הורקניה 21	ירושלים	3000	392.3
הורקניה 21	ירושלים	3000	392.4
אהרוני 14	ירושלים	3000	395.1
אהרוני 14	ירושלים	3000	395.2
אהרוני 14	ירושלים	3000	395.3
אהרוני 14	ירושלים	3000	395.4
אהרוני 14	ירושלים	3000	395.5
"הפלמ""ח 57"	ירושלים	3000	406.0
המשורינים 4	ירושלים	3000	408.1
המשורינים 4	ירושלים	3000	408.2
"הפלמ""ח 57"	ירושלים	3000	412.0
שערי תורה 2	ירושלים	3000	417.1
שערי תורה 2	ירושלים	3000	417.2
שערי תורה 2	ירושלים	3000	417.3
הרב פרנק 20	ירושלים	3000	418.1
הרב פרנק 20	ירושלים	3000	418.2
הרב פרנק 20	ירושלים	3000	418.3
הרב פרנק 20	ירושלים	3000	418.4
הרב פרנק 20	ירושלים	3000	418.5
רזיאל דוד 13	ירושלים	3000	422.1
רזיאל דוד 13	ירושלים	3000	422.2
רזיאל דוד 13	ירושלים	3000	422.3
רזיאל דוד 13	ירושלים	3000	422.4
תמיר שמואל 74	ירושלים	3000	423.0
דהומיי 6	ירושלים	3000	425.0
בר יוחאי 53	ירושלים	3000	426.0
בית צפפה	ירושלים	3000	427.1
בית צפפה	ירושלים	3000	427.2
בית צפפה	ירושלים	3000	427.3
בית צפפה	ירושלים	3000	427.4
כט' בנובמבר 13	ירושלים	3000	433.1
כט' בנובמבר 13	ירושלים	3000	433.2
כט' בנובמבר 13	ירושלים	3000	433.3
כט' בנובמבר 13	ירושלים	3000	433.4
כובשי קטמון 15	ירושלים	3000	434.1
כובשי קטמון 15	ירושלים	3000	434.2
כובשי קטמון 15	ירושלים	3000	434.3
כובשי קטמון 15	ירושלים	3000	434.4
כובשי קטמון 15	ירושלים	3000	434.5
עמק רפאים 22	ירושלים	3000	436.1
עמק רפאים 22	ירושלים	3000	436.2
מסריק 10	ירושלים	3000	437.1
מסריק 10	ירושלים	3000	437.2
רחל אמנו 27	ירושלים	3000	439.1
רחל אמנו 27	ירושלים	3000	439.2
רחל אמנו 27	ירושלים	3000	439.3
הקבלן 8	ירושלים	3000	443.1
הקבלן 8	ירושלים	3000	443.2
הקבלן 8	ירושלים	3000	443.3
הקבלן 8	ירושלים	3000	443.4
הקבלן 8	ירושלים	3000	443.5
הקבלן 8	ירושלים	3000	443.6
מעלות כיסופים 5	ירושלים	3000	447.0
קדושי בבל 22	ירושלים	3000	451.0
יהודה 31	ירושלים	3000	456.1
יהודה 31	ירושלים	3000	456.2
יהודה 31	ירושלים	3000	456.3
אסתר המלכה 3	ירושלים	3000	460.1
אסתר המלכה 3	ירושלים	3000	460.2
גדעון 10	ירושלים	3000	462.1
גדעון 10	ירושלים	3000	462.2
גדעון 14	ירושלים	3000	463.0
בית הערבה 7	ירושלים	3000	468.1
בית הערבה 7	ירושלים	3000	468.2
בית הערבה 7	ירושלים	3000	468.3
בית הערבה 7	ירושלים	3000	468.4
בית הערבה 7	ירושלים	3000	468.5
קבוץ גלויות 4	ירושלים	3000	473.1
קבוץ גלויות 4	ירושלים	3000	473.2
קבוץ גלויות 4	ירושלים	3000	473.3
קבוץ גלויות 4	ירושלים	3000	473.4
קבוץ גלויות 4	ירושלים	3000	473.5
נחשון 11	ירושלים	3000	474.1
נחשון 11	ירושלים	3000	474.2
נחשון 11	ירושלים	3000	474.3
נחשון 11	ירושלים	3000	474.4
דרך בית לחם 113	ירושלים	3000	477.1
דרך בית לחם 113	ירושלים	3000	477.2
דרך בית לחם 113	ירושלים	3000	477.3
דרך בית לחם 113	ירושלים	3000	477.4
דרך בית לחם 113	ירושלים	3000	477.5
דרך בית לחם 117	ירושלים	3000	478.0
"בית""ר 8"	ירושלים	3000	482.0
"בית""ר 8"	ירושלים	3000	485.1
"בית""ר 8"	ירושלים	3000	485.2
"בית""ר 8"	ירושלים	3000	485.3
"בית""ר 8"	ירושלים	3000	485.4
"בית""ר 8"	ירושלים	3000	485.5
"בית""ר 8"	ירושלים	3000	485.6
דרך בית לחם 117	ירושלים	3000	486.1
דרך בית לחם 117	ירושלים	3000	486.2
דרך בית לחם 117	ירושלים	3000	486.3
דרך בית לחם 117	ירושלים	3000	486.4
דרך בית לחם 117	ירושלים	3000	486.5
דרך בית לחם 117	ירושלים	3000	486.6
כפר עציון 1	ירושלים	3000	488.0
בית צפפה	ירושלים	3000	489.1
בית צפפה	ירושלים	3000	489.2
בתי מחסה	ירושלים	3000	500.1
בתי מחסה	ירושלים	3000	500.2
בתי מחסה	ירושלים	3000	500.3
בתי מחסה	ירושלים	3000	500.4
גריק פטריאכט 26	ירושלים	3000	501.1
גריק פטריאכט 26	ירושלים	3000	501.2
גריק פטריאכט 26	ירושלים	3000	501.3
גריק פטריאכט 26	ירושלים	3000	501.4
דרך בר-לב	ירושלים	3000	518.1
דרך בר-לב	ירושלים	3000	518.2
דרך בר-לב	ירושלים	3000	518.3
דרך בר-לב	ירושלים	3000	518.4
דרך בר-לב	ירושלים	3000	518.5
דרך בר-לב	ירושלים	3000	518.6
"אצ""ל 20"	ירושלים	3000	521.0
לוחמי הגטאות 7	ירושלים	3000	530.1
לוחמי הגטאות 7	ירושלים	3000	530.2
לוחמי הגטאות 7	ירושלים	3000	530.3
אלמדינה מונורה 142	ירושלים	3000	545.1
אלמדינה מונורה 142	ירושלים	3000	545.2
איחוד הכפר	ירושלים	3000	548.0
ככר ארן זלמן 11	ירושלים	3000	550.1
ככר ארן זלמן 11	ירושלים	3000	550.2
ככר ארן זלמן 11	ירושלים	3000	550.3
"מעגלי הרי""ם לוין 27"	ירושלים	3000	554.1
"מעגלי הרי""ם לוין 27"	ירושלים	3000	554.2
"מעגלי הרי""ם לוין 27"	ירושלים	3000	554.3
"מעגלי הרי""ם לוין 27"	ירושלים	3000	554.4
"מעגלי הרי""ם לוין 27"	ירושלים	3000	554.5
"מעגלי הרי""ם לוין 27"	ירושלים	3000	554.6
ככר ארן זלמן 7	ירושלים	3000	556.1
ככר ארן זלמן 7	ירושלים	3000	556.2
ככר ארן זלמן 7	ירושלים	3000	556.3
ככר ארן זלמן 7	ירושלים	3000	556.4
ההגנה 13	ירושלים	3000	562.1
ההגנה 13	ירושלים	3000	562.2
ההגנה 13	ירושלים	3000	562.3
"אצ""ל 20"	ירושלים	3000	565.0
"אצ""ל 20"	ירושלים	3000	566.0
הגננת 29	ירושלים	3000	567.1
הגננת 29	ירושלים	3000	567.2
הגננת 29	ירושלים	3000	567.3
הגננת 29	ירושלים	3000	567.4
הגננת 29	ירושלים	3000	567.5
הגננת 29	ירושלים	3000	567.6
נטר 1	ירושלים	3000	569.1
נטר 1	ירושלים	3000	569.2
נטר 1	ירושלים	3000	569.3
נטר 1	ירושלים	3000	569.4
נטר 1	ירושלים	3000	569.5
"מח""ל 9"	ירושלים	3000	571.1
"מח""ל 9"	ירושלים	3000	571.2
"מח""ל 9"	ירושלים	3000	571.3
"מח""ל 9"	ירושלים	3000	571.4
"מח""ל 9"	ירושלים	3000	571.5
"מח""ל 9"	ירושלים	3000	571.6
"מח""ל 9"	ירושלים	3000	571.7
מעגלות הרב פרדס 39	ירושלים	3000	572.1
מעגלות הרב פרדס 39	ירושלים	3000	572.2
מעגלות הרב פרדס 39	ירושלים	3000	572.3
מעגלות הרב פרדס 39	ירושלים	3000	572.4
מעגלות הרב פרדס 39	ירושלים	3000	572.5
מעגלות הרב פרדס 39	ירושלים	3000	572.6
שד נוה יעקב 38 ב	ירושלים	3000	575.0
בלבן מאיר 6	ירושלים	3000	576.0
קדושי בבל 22	ירושלים	3000	587.0
הרואה 21	ירושלים	3000	589.1
הרואה 21	ירושלים	3000	589.2
הרואה 21	ירושלים	3000	589.3
קדושי בבל 1	ירושלים	3000	591.1
קדושי בבל 1	ירושלים	3000	591.2
קדושי בבל 1	ירושלים	3000	591.3
רזיאל דוד 29	ירושלים	3000	592.0
ורדינון 1	ירושלים	3000	595.1
ורדינון 1	ירושלים	3000	595.2
ורדינון 1	ירושלים	3000	595.3
ורדינון 1	ירושלים	3000	595.4
ורדינון 12	ירושלים	3000	598.1
ורדינון 12	ירושלים	3000	598.2
ורדינון 12	ירושלים	3000	598.3
אדם 28	ירושלים	3000	613.1
אדם 28	ירושלים	3000	613.2
אדם 28	ירושלים	3000	613.3
אדם 28	ירושלים	3000	613.4
אדם 28	ירושלים	3000	613.5
"אצ""ל 20"	ירושלים	3000	615.0
ירושלים	ירושלים	3000	623.0
קדושי בבל 22	ירושלים	3000	634.0
קדושי בבל 22	ירושלים	3000	635.0
קדושי בבל 22	ירושלים	3000	637.0
קדושי בבל 22	ירושלים	3000	638.0
רזיאל דוד 29	ירושלים	3000	641.0
קדושי בבל 22	ירושלים	3000	643.0
מעגלות הרב פרדס 39	ירושלים	3000	650.0
הגננת 29	ירושלים	3000	674.0
מרגלית 411	ירושלים	3000	676.1
מרגלית 411	ירושלים	3000	676.2
מרגלית 411	ירושלים	3000	676.3
הדולב 423	ירושלים	3000	677.1
הדולב 423	ירושלים	3000	677.2
הדולב 423	ירושלים	3000	677.3
הדולב 423	ירושלים	3000	677.4
הדולב 423	ירושלים	3000	677.5
הדולב 423	ירושלים	3000	677.6
צביה ויצחק	ירושלים	3000	682.1
צביה ויצחק	ירושלים	3000	682.2
שוהם 526	ירושלים	3000	684.1
שוהם 526	ירושלים	3000	684.2
שבו 501	ירושלים	3000	693.1
שבו 501	ירושלים	3000	693.2
שד נוה יעקב 38 א	ירושלים	3000	698.1
שד נוה יעקב 38 א	ירושלים	3000	698.2
שד נוה יעקב 38 א	ירושלים	3000	698.3
בלבן מאיר 6	ירושלים	3000	700.0
צונדק 1	ירושלים	3000	706.1
צונדק 1	ירושלים	3000	706.2
צונדק 1	ירושלים	3000	706.3
צונדק 1	ירושלים	3000	706.4
צונדק 26	ירושלים	3000	708.1
צונדק 26	ירושלים	3000	708.2
אסירי ציון 2	ירושלים	3000	709.1
אסירי ציון 2	ירושלים	3000	709.2
אסירי ציון 2	ירושלים	3000	709.3
אסירי ציון 2	ירושלים	3000	709.4
אסירי ציון 2	ירושלים	3000	709.5
מעגלות הרב פרדס 39	ירושלים	3000	712.0
בלבן מאיר 6	ירושלים	3000	713.0
שד נוה יעקב 38	ירושלים	3000	714.1
שד נוה יעקב 38	ירושלים	3000	714.2
שד נוה יעקב 38	ירושלים	3000	714.3
שד נוה יעקב 38	ירושלים	3000	714.4
"אצ""ל 20"	ירושלים	3000	716.0
מעלות כיסופים 5	ירושלים	3000	718.0
רקנטי אברהם 6	ירושלים	3000	719.1
רקנטי אברהם 6	ירושלים	3000	719.2
רקנטי אברהם 6	ירושלים	3000	719.3
שד דיין משה 135	ירושלים	3000	720.0
השישה עשר 19	ירושלים	3000	722.1
השישה עשר 19	ירושלים	3000	722.2
השישה עשר 19	ירושלים	3000	722.3
השישה עשר 34	ירושלים	3000	725.1
השישה עשר 34	ירושלים	3000	725.2
השישה עשר 34	ירושלים	3000	725.3
השישה עשר 34	ירושלים	3000	725.4
השישה עשר 34	ירושלים	3000	725.5
השישה עשר 34	ירושלים	3000	725.6
מזל טלה 11	ירושלים	3000	729.1
מזל טלה 11	ירושלים	3000	729.2
מזל טלה 11	ירושלים	3000	729.3
מזל טלה 11	ירושלים	3000	729.4
תמיר שמואל 74	ירושלים	3000	730.0
תמיר שמואל 74	ירושלים	3000	732.0
רחמילביץ משה 1	ירושלים	3000	737.1
רחמילביץ משה 1	ירושלים	3000	737.2
רחמילביץ משה 1	ירושלים	3000	737.3
רחמילביץ משה 1	ירושלים	3000	737.4
גרשון מאיר 21	ירושלים	3000	740.1
גרשון מאיר 21	ירושלים	3000	740.2
גרשון מאיר 21	ירושלים	3000	740.3
גרשון מאיר 21	ירושלים	3000	740.4
מחנה פליטים קלנדיה	ירושלים	3000	742.0
מזל דלי 21	ירושלים	3000	745.0
מזל דלי 21	ירושלים	3000	746.0
גרשון מאיר 26	ירושלים	3000	750.1
