Locality Number	Station Number	Locality Name	Address Name
30000	872	ירושלים	הקרן הקיימת 14
30000	873	ירושלים	הקרן הקיימת 14
30000	891	ירושלים	רבי עקיבא 7
30000	892	ירושלים	רבי עקיבא 7
30000	893	ירושלים	רבי עקיבא 7
30000	894	ירושלים	רבי עקיבא 7
30000	1500	ירושלים	בן לברט 15
30000	1510	ירושלים	בן לברט 15
30000	1570	ירושלים	בן לברט 15
30000	1580	ירושלים	בן לברט 15
30000	1590	ירושלים	בן לברט 15
30000	1651	ירושלים	אוסישקין 38
30000	1652	ירושלים	אוסישקין 38
30000	1653	ירושלים	אוסישקין 38
30000	1654	ירושלים	אוסישקין 38
30000	1880	ירושלים	הרב והרבנית קאפח 20
30000	1910	ירושלים	הרב והרבנית קאפח 20
30000	1920	ירושלים	הרב והרבנית קאפח 20
30000	1930	ירושלים	נרקיס 11
30000	1940	ירושלים	הרב והרבנית קאפח 20
30000	1970	ירושלים	אהל משה 42
30000	1980	ירושלים	אהל משה 42
30000	2001	ירושלים	אלוף שאלתיאל 1
30000	2002	ירושלים	אלוף שאלתיאל 1
30000	2003	ירושלים	אלוף שאלתיאל 1
30000	2004	ירושלים	אלוף שאלתיאל 1
30000	2030	ירושלים	שיריזלי 6
30000	2040	ירושלים	אהל משה 42
30000	2060	ירושלים	אהל משה 42
30000	2281	ירושלים	בן לברט 15
30000	2282	ירושלים	בן לברט 15
30000	2283	ירושלים	בן לברט 15
30000	2284	ירושלים	בן לברט 15
30000	4050	ירושלים	בן לברט 15
30000	4470	ירושלים	מעלות כיסופים 5
30000	5000	ירושלים	בתי מחסה
30000	5011	ירושלים	גריק פטריאכט 26
30000	5012	ירושלים	גריק פטריאכט 26
30000	5013	ירושלים	גריק פטריאכט 26
30000	5014	ירושלים	גריק פטריאכט 26
30000	5060	ירושלים	בתי מחסה
30000	5070	ירושלים	בתי מחסה
30000	5780	ירושלים	מעוז 1
30000	5790	ירושלים	בובליק גדליה 26
30000	6580	ירושלים	מעוז 1
30000	7050	ירושלים	מעוז 1
30000	7070	ירושלים	מעוז 1
30000	7100	ירושלים	בובליק גדליה 26
30000	7180	ירושלים	מעלות כיסופים 5
30000	7730	ירושלים	בובליק גדליה 26
30000	7740	ירושלים	בובליק גדליה 26
30000	7760	ירושלים	מעוז 1
30000	7770	ירושלים	מעלות כיסופים 5
30000	7950	ירושלים	מעלות כיסופים 5
30000	8000	ירושלים	קהילות יעקב 15
30000	8010	ירושלים	קהילות יעקב 15
30000	8020	ירושלים	קהילות יעקב 10
30000	8030	ירושלים	אגרות משה
30000	8040	ירושלים	חזון איש 62
30000	8050	ירושלים	קהילות יעקב 15
30000	8060	ירושלים	הרב קלכהיים עוזי 1
30000	8070	ירושלים	אגרות משה
30000	8080	ירושלים	אגרות משה
30000	8090	ירושלים	חזון איש 62
30000	8100	ירושלים	חזון איש 62
30000	8110	ירושלים	קהילות יעקב 10
30000	8120	ירושלים	קהילות יעקב 10
30000	8220	ירושלים	בתי מחסה
30000	9740	ירושלים	הרב קלכהיים עוזי 1
30000	5770	ירושלים	מינץ 45
30000	5880	ירושלים	מירסקי יצחק 10
30000	5890	ירושלים	הרואה 21
30000	6600	ירושלים	צונדק 26
30000	6690	ירושלים	אידלזון אברהם 30
30000	6720	ירושלים	אידלזון אברהם 30
30000	7061	ירושלים	צונדק 1
30000	7062	ירושלים	צונדק 1
30000	7063	ירושלים	צונדק 1
30000	7064	ירושלים	צונדק 1
30000	7080	ירושלים	צונדק 26
30000	7091	ירושלים	אסירי ציון 2
30000	7092	ירושלים	אסירי ציון 2
30000	7093	ירושלים	אסירי ציון 2
30000	7094	ירושלים	אסירי ציון 2
30000	7095	ירושלים	אסירי ציון 2
30000	7110	ירושלים	אידלזון אברהם 30
30000	7190	ירושלים	רקנטי אברהם 6
30000	7690	ירושלים	אידלזון אברהם 30
30000	7710	ירושלים	הרואה 21
30000	7720	ירושלים	מירסקי יצחק 10
30000	7750	ירושלים	מירסקי יצחק 10
30000	7780	ירושלים	אידלזון אברהם 30
30000	7790	ירושלים	שד גולדה מאיר 474
30000	7830	ירושלים	מירסקי יצחק 10
30000	7840	ירושלים	מינץ 45
30000	7850	ירושלים	מינץ 45
30000	7860	ירושלים	רקנטי אברהם 345
30000	7870	ירושלים	רקנטי אברהם 345
30000	7880	ירושלים	אידלזון אברהם 30
30000	7890	ירושלים	רקנטי אברהם 6
30000	7910	ירושלים	מינץ 45
30000	8270	ירושלים	מירסקי יצחק 10
30000	270	ירושלים	אהלי יוסף 15
30000	280	ירושלים	אהלי יוסף 15
30000	301	ירושלים	ירמיהו 5
30000	302	ירושלים	ירמיהו 5
30000	303	ירושלים	ירמיהו 5
30000	304	ירושלים	ירמיהו 5
30000	305	ירושלים	ירמיהו 5
30000	480	ירושלים	אהלי יוסף 15
30000	590	ירושלים	עזרת תורה 45
30000	620	ירושלים	עזרת תורה 45
30000	630	ירושלים	עזרת תורה 45
30000	640	ירושלים	עזרת תורה 45
30000	650	ירושלים	שפע חיים 1
30000	661	ירושלים	סורוצקין 40
30000	662	ירושלים	סורוצקין 40
30000	663	ירושלים	סורוצקין 40
