Bloc	Knesset	Locality	Station	Votes
Left	23	967	1	2
Orthodox	23	967	1	2
Arab-Israeli	23	967	1	112
Micro	23	967	1	1
Right	23	967	1	1
Secular Centre	23	967	1	6
Left	23	967	2	6
Orthodox	23	967	2	0
Arab-Israeli	23	967	2	235
Micro	23	967	2	4
Right	23	967	2	2
Secular Centre	23	967	2	0
Left	23	967	3	5
Orthodox	23	967	3	0
Arab-Israeli	23	967	3	207
Micro	23	967	3	2
Right	23	967	3	2
Secular Centre	23	967	3	2
Left	23	472	1	15
Orthodox	23	472	1	3
Arab-Israeli	23	472	1	229
Micro	23	472	1	2
Right	23	472	1	32
Secular Centre	23	472	1	11
Left	23	472	2	6
Orthodox	23	472	2	0
Arab-Israeli	23	472	2	330
Micro	23	472	2	3
Right	23	472	2	25
Secular Centre	23	472	2	18
Left	23	472	3	3
Orthodox	23	472	3	6
Arab-Israeli	23	472	3	258
Micro	23	472	3	3
Right	23	472	3	52
Secular Centre	23	472	3	18
Left	23	472	4	16
Orthodox	23	472	4	2
Arab-Israeli	23	472	4	364
Micro	23	472	4	2
Right	23	472	4	53
Secular Centre	23	472	4	21
Left	23	472	5	11
Orthodox	23	472	5	2
Arab-Israeli	23	472	5	201
Micro	23	472	5	3
Right	23	472	5	41
Secular Centre	23	472	5	6
Left	23	472	6	13
Orthodox	23	472	6	1
Arab-Israeli	23	472	6	310
Micro	23	472	6	3
Right	23	472	6	26
Secular Centre	23	472	6	24
Left	23	472	7	6
Orthodox	23	472	7	1
Arab-Israeli	23	472	7	260
Micro	23	472	7	2
Right	23	472	7	33
Secular Centre	23	472	7	17
Left	23	472	8	5
Orthodox	23	472	8	3
Arab-Israeli	23	472	8	205
Micro	23	472	8	1
Right	23	472	8	28
Secular Centre	23	472	8	8
Left	23	473	1	13
Orthodox	23	473	1	8
Arab-Israeli	23	473	1	472
Micro	23	473	1	11
Right	23	473	1	22
Secular Centre	23	473	1	17
Left	23	473	2	2
Orthodox	23	473	2	1
Arab-Israeli	23	473	2	456
Micro	23	473	2	4
Right	23	473	2	2
Secular Centre	23	473	2	5
Left	23	473	3	2
Orthodox	23	473	3	13
Arab-Israeli	23	473	3	307
Micro	23	473	3	1
Right	23	473	3	47
Secular Centre	23	473	3	91
Left	23	473	4	2
Orthodox	23	473	4	15
Arab-Israeli	23	473	4	355
Micro	23	473	4	0
Right	23	473	4	22
Secular Centre	23	473	4	35
Left	23	473	5	16
Orthodox	23	473	5	16
Arab-Israeli	23	473	5	413
Micro	23	473	5	5
Right	23	473	5	18
Secular Centre	23	473	5	35
Left	23	473	6	4
Orthodox	23	473	6	53
Arab-Israeli	23	473	6	365
Micro	23	473	6	2
Right	23	473	6	29
Secular Centre	23	473	6	50
Left	23	473	7	4
Orthodox	23	473	7	47
Arab-Israeli	23	473	7	329
Micro	23	473	7	0
Right	23	473	7	42
Secular Centre	23	473	7	61
Left	23	473	8	8
