Bloc	Knesset	Locality	Station	Votes
Left	25	9670	31	0
Micro	25	9670	31	2
Right	25	9670	31	9
Orthodox	25	9670	31	0
Arab-Israeli	25	9670	31	157
Secular Centre	25	9670	31	1
Left	25	9670	32	1
Micro	25	9670	32	1
Right	25	9670	32	1
Orthodox	25	9670	32	0
Arab-Israeli	25	9670	32	92
Secular Centre	25	9670	32	0
Left	25	9670	33	0
Micro	25	9670	33	0
Right	25	9670	33	0
Orthodox	25	9670	33	2
Arab-Israeli	25	9670	33	162
Secular Centre	25	9670	33	4
Left	25	9670	34	0
Micro	25	9670	34	4
Right	25	9670	34	2
Orthodox	25	9670	34	2
Arab-Israeli	25	9670	34	99
Secular Centre	25	9670	34	1
Left	25	4720	11	11
Micro	25	4720	11	1
Right	25	4720	11	11
Orthodox	25	4720	11	1
Arab-Israeli	25	4720	11	324
Secular Centre	25	4720	11	5
Left	25	4720	12	11
Micro	25	4720	12	1
Right	25	4720	12	34
Orthodox	25	4720	12	2
Arab-Israeli	25	4720	12	275
Secular Centre	25	4720	12	6
Left	25	4720	13	5
Micro	25	4720	13	8
Right	25	4720	13	10
Orthodox	25	4720	13	1
Arab-Israeli	25	4720	13	293
Secular Centre	25	4720	13	4
Left	25	4720	30	4
Micro	25	4720	30	1
Right	25	4720	30	46
Orthodox	25	4720	30	3
Arab-Israeli	25	4720	30	290
Secular Centre	25	4720	30	4
Left	25	4720	50	5
Micro	25	4720	50	2
Right	25	4720	50	20
Orthodox	25	4720	50	1
Arab-Israeli	25	4720	50	223
Secular Centre	25	4720	50	3
Left	25	4720	61	3
Micro	25	4720	61	0
Right	25	4720	61	9
Orthodox	25	4720	61	0
Arab-Israeli	25	4720	61	267
Secular Centre	25	4720	61	1
Left	25	4720	62	11
Micro	25	4720	62	4
Right	25	4720	62	32
Orthodox	25	4720	62	4
Arab-Israeli	25	4720	62	242
Secular Centre	25	4720	62	5
Left	25	4720	63	11
Micro	25	4720	63	2
Right	25	4720	63	31
Orthodox	25	4720	63	4
Arab-Israeli	25	4720	63	263
