Bloc	Knesset	Locality	Party	Station	Votes
Micro	13	10610	49	440	4
Orthodox	13	10610	50	440	9
Right	13	10610	51	440	11
Left	13	10610	27	450	191
Orthodox	13	10610	28	450	18
Orthodox	13	10610	29	450	1
Micro	13	10610	30	450	0
Micro	13	10610	31	450	0
Arab-Israeli	13	10610	32	450	1
Micro	13	10610	33	450	0
Right	13	10610	34	450	12
Micro	13	10610	35	450	1
Micro	13	10610	36	450	0
Micro	13	10610	37	450	0
Micro	13	10610	38	450	0
Right	13	10610	39	450	92
Left	13	10610	40	450	31
Micro	13	10610	41	450	0
Micro	13	10610	42	450	0
Micro	13	10610	43	450	0
Arab-Israeli	13	10610	44	450	0
Micro	13	10610	45	450	0
Right	13	10610	46	450	34
Micro	13	10610	47	450	0
Micro	13	10610	48	450	7
Micro	13	10610	49	450	0
Orthodox	13	10610	50	450	14
Right	13	10610	51	450	8
Left	13	10620	27	10	316
Orthodox	13	10620	28	10	17
Orthodox	13	10620	29	10	1
Micro	13	10620	30	10	0
Micro	13	10620	31	10	0
Arab-Israeli	13	10620	32	10	0
Micro	13	10620	33	10	0
Right	13	10620	34	10	11
Micro	13	10620	35	10	0
Micro	13	10620	36	10	0
Micro	13	10620	37	10	1
Micro	13	10620	38	10	0
Right	13	10620	39	10	102
Left	13	10620	40	10	75
Micro	13	10620	41	10	4
Micro	13	10620	42	10	2
Micro	13	10620	43	10	1
Arab-Israeli	13	10620	44	10	0
Micro	13	10620	45	10	1
Right	13	10620	46	10	52
Micro	13	10620	47	10	3
Micro	13	10620	48	10	0
Micro	13	10620	49	10	1
Orthodox	13	10620	50	10	6
Right	13	10620	51	10	6
Left	13	10620	27	20	370
Orthodox	13	10620	28	20	4
Orthodox	13	10620	29	20	1
Micro	13	10620	30	20	0
Micro	13	10620	31	20	2
Arab-Israeli	13	10620	32	20	0
Micro	13	10620	33	20	0
Right	13	10620	34	20	12
Micro	13	10620	35	20	0
Micro	13	10620	36	20	0
Micro	13	10620	37	20	0
Micro	13	10620	38	20	0
Right	13	10620	39	20	90
Left	13	10620	40	20	108
Micro	13	10620	41	20	1
Micro	13	10620	42	20	2
Micro	13	10620	43	20	0
Arab-Israeli	13	10620	44	20	0
Micro	13	10620	45	20	0
Right	13	10620	46	20	69
Micro	13	10620	47	20	2
Micro	13	10620	48	20	2
Micro	13	10620	49	20	5
Orthodox	13	10620	50	20	3
Right	13	10620	51	20	2
Left	13	10620	27	30	241
Orthodox	13	10620	28	30	5
Orthodox	13	10620	29	30	0
Micro	13	10620	30	30	1
Micro	13	10620	31	30	4
Arab-Israeli	13	10620	32	30	0
Micro	13	10620	33	30	0
Right	13	10620	34	30	5
Micro	13	10620	35	30	1
Micro	13	10620	36	30	0
Micro	13	10620	37	30	1
Micro	13	10620	38	30	0
Right	13	10620	39	30	105
Left	13	10620	40	30	43
Micro	13	10620	41	30	0
Micro	13	10620	42	30	7
Micro	13	10620	43	30	0
Arab-Israeli	13	10620	44	30	0
Micro	13	10620	45	30	0
Right	13	10620	46	30	58
Micro	13	10620	47	30	4
Micro	13	10620	48	30	0
Micro	13	10620	49	30	1
Orthodox	13	10620	50	30	4
Right	13	10620	51	30	3
Left	13	10630	27	10	123
Orthodox	13	10630	28	10	30
Orthodox	13	10630	29	10	6
Micro	13	10630	30	10	3
Micro	13	10630	31	10	1
Arab-Israeli	13	10630	32	10	1
Micro	13	10630	33	10	0
Right	13	10630	34	10	15
Micro	13	10630	35	10	0
Micro	13	10630	36	10	2
Micro	13	10630	37	10	1
Micro	13	10630	38	10	0
Right	13	10630	39	10	311
Left	13	10630	40	10	14
Micro	13	10630	41	10	1
Micro	13	10630	42	10	0
Micro	13	10630	43	10	1
Arab-Israeli	13	10630	44	10	0
Micro	13	10630	45	10	0
Right	13	10630	46	10	24
Micro	13	10630	47	10	5
Micro	13	10630	48	10	0
Micro	13	10630	49	10	0
Orthodox	13	10630	50	10	153
Right	13	10630	51	10	11
Left	13	10630	27	21	156
Orthodox	13	10630	28	21	55
Orthodox	13	10630	29	21	9
Micro	13	10630	30	21	7
Micro	13	10630	31	21	2
Arab-Israeli	13	10630	32	21	0
Micro	13	10630	33	21	0
Right	13	10630	34	21	5
Micro	13	10630	35	21	2
Micro	13	10630	36	21	5
Micro	13	10630	37	21	0
Micro	13	10630	38	21	0
Right	13	10630	39	21	143
Left	13	10630	40	21	37
Micro	13	10630	41	21	0
Micro	13	10630	42	21	0
Micro	13	10630	43	21	0
Arab-Israeli	13	10630	44	21	0
Micro	13	10630	45	21	0
Right	13	10630	46	21	28
Micro	13	10630	47	21	0
Micro	13	10630	48	21	6
Micro	13	10630	49	21	0
Orthodox	13	10630	50	21	33
Right	13	10630	51	21	18
Left	13	10630	27	22	173
Orthodox	13	10630	28	22	57
Orthodox	13	10630	29	22	5
Micro	13	10630	30	22	4
Micro	13	10630	31	22	2
Arab-Israeli	13	10630	32	22	1
Micro	13	10630	33	22	0
Right	13	10630	34	22	15
Micro	13	10630	35	22	0
Micro	13	10630	36	22	2
Micro	13	10630	37	22	0
Micro	13	10630	38	22	0
Right	13	10630	39	22	133
Left	13	10630	40	22	70
Micro	13	10630	41	22	0
Micro	13	10630	42	22	0
Micro	13	10630	43	22	1
Arab-Israeli	13	10630	44	22	0
Micro	13	10630	45	22	0
Right	13	10630	46	22	32
Micro	13	10630	47	22	1
Micro	13	10630	48	22	2
Micro	13	10630	49	22	0
Orthodox	13	10630	50	22	22
Right	13	10630	51	22	7
Left	13	10630	27	30	294
Orthodox	13	10630	28	30	113
Orthodox	13	10630	29	30	1
Micro	13	10630	30	30	0
Micro	13	10630	31	30	1
Arab-Israeli	13	10630	32	30	119
Micro	13	10630	33	30	0
Right	13	10630	34	30	0
Micro	13	10630	35	30	0
Micro	13	10630	36	30	0
Micro	13	10630	37	30	0
Micro	13	10630	38	30	0
Right	13	10630	39	30	15
Left	13	10630	40	30	61
Micro	13	10630	41	30	0
Micro	13	10630	42	30	0
Micro	13	10630	43	30	0
Arab-Israeli	13	10630	44	30	13
Micro	13	10630	45	30	95
Right	13	10630	46	30	0
Micro	13	10630	47	30	0
Micro	13	10630	48	30	1
Micro	13	10630	49	30	8
Orthodox	13	10630	50	30	27
Right	13	10630	51	30	0
Left	13	10630	27	41	126
Orthodox	13	10630	28	41	12
Orthodox	13	10630	29	41	3
Micro	13	10630	30	41	16
Micro	13	10630	31	41	0
Arab-Israeli	13	10630	32	41	0
Micro	13	10630	33	41	0
Right	13	10630	34	41	9
Micro	13	10630	35	41	0
Micro	13	10630	36	41	0
Micro	13	10630	37	41	0
Micro	13	10630	38	41	2
Right	13	10630	39	41	233
Left	13	10630	40	41	21
Micro	13	10630	41	41	0
Micro	13	10630	42	41	0
Micro	13	10630	43	41	1
Arab-Israeli	13	10630	44	41	1
Micro	13	10630	45	41	0
Right	13	10630	46	41	5
Micro	13	10630	47	41	0
Micro	13	10630	48	41	2
Micro	13	10630	49	41	0
Orthodox	13	10630	50	41	35
Right	13	10630	51	41	4
Left	13	10630	27	42	151
Orthodox	13	10630	28	42	17
Orthodox	13	10630	29	42	2
Micro	13	10630	30	42	6
Micro	13	10630	31	42	1
Arab-Israeli	13	10630	32	42	0
Micro	13	10630	33	42	0
Right	13	10630	34	42	9
Micro	13	10630	35	42	0
Micro	13	10630	36	42	0
Micro	13	10630	37	42	1
Micro	13	10630	38	42	0
Right	13	10630	39	42	208
Left	13	10630	40	42	39
Micro	13	10630	41	42	0
Micro	13	10630	42	42	2
Micro	13	10630	43	42	0
Arab-Israeli	13	10630	44	42	1
Micro	13	10630	45	42	0
Right	13	10630	46	42	16
Micro	13	10630	47	42	5
Micro	13	10630	48	42	4
Micro	13	10630	49	42	1
Orthodox	13	10630	50	42	27
Right	13	10630	51	42	6
Left	13	10630	27	50	196
Orthodox	13	10630	28	50	79
Orthodox	13	10630	29	50	0
Micro	13	10630	30	50	0
Micro	13	10630	31	50	0
Arab-Israeli	13	10630	32	50	70
Micro	13	10630	33	50	1
Right	13	10630	34	50	2
Micro	13	10630	35	50	0
Micro	13	10630	36	50	0
Micro	13	10630	37	50	0
Micro	13	10630	38	50	0
Right	13	10630	39	50	22
Left	13	10630	40	50	47
Micro	13	10630	41	50	1
Micro	13	10630	42	50	1
Micro	13	10630	43	50	0
Arab-Israeli	13	10630	44	50	43
Micro	13	10630	45	50	93
Right	13	10630	46	50	0
Micro	13	10630	47	50	0
Micro	13	10630	48	50	0
Micro	13	10630	49	50	47
Orthodox	13	10630	50	50	31
Right	13	10630	51	50	0
Left	13	10630	27	60	295
Orthodox	13	10630	28	60	48
Orthodox	13	10630	29	60	10
Micro	13	10630	30	60	7
Micro	13	10630	31	60	2
Arab-Israeli	13	10630	32	60	1
Micro	13	10630	33	60	1
Right	13	10630	34	60	12
Micro	13	10630	35	60	1
Micro	13	10630	36	60	5
Micro	13	10630	37	60	0
Micro	13	10630	38	60	0
Right	13	10630	39	60	264
Left	13	10630	40	60	45
Micro	13	10630	41	60	4
Micro	13	10630	42	60	2
Micro	13	10630	43	60	0
Arab-Israeli	13	10630	44	60	0
Micro	13	10630	45	60	0
Right	13	10630	46	60	19
Micro	13	10630	47	60	6
Micro	13	10630	48	60	2
Micro	13	10630	49	60	0
Orthodox	13	10630	50	60	95
Right	13	10630	51	60	5
Left	13	10630	27	81	100
Orthodox	13	10630	28	81	18
Orthodox	13	10630	29	81	3
Micro	13	10630	30	81	2
Micro	13	10630	31	81	1
Arab-Israeli	13	10630	32	81	0
Micro	13	10630	33	81	0
Right	13	10630	34	81	4
Micro	13	10630	35	81	0
Micro	13	10630	36	81	2
Micro	13	10630	37	81	1
Micro	13	10630	38	81	0
Right	13	10630	39	81	205
Left	13	10630	40	81	14
Micro	13	10630	41	81	0
Micro	13	10630	42	81	0
Micro	13	10630	43	81	0
Arab-Israeli	13	10630	44	81	0
Micro	13	10630	45	81	0
Right	13	10630	46	81	15
Micro	13	10630	47	81	2
Micro	13	10630	48	81	0
Micro	13	10630	49	81	1
Orthodox	13	10630	50	81	63
Right	13	10630	51	81	5
Left	13	10630	27	82	156
Orthodox	13	10630	28	82	5
Orthodox	13	10630	29	82	3
Micro	13	10630	30	82	9
Micro	13	10630	31	82	1
Arab-Israeli	13	10630	32	82	0
Micro	13	10630	33	82	0
Right	13	10630	34	82	12
Micro	13	10630	35	82	1
Micro	13	10630	36	82	0
Micro	13	10630	37	82	0
Micro	13	10630	38	82	0
Right	13	10630	39	82	137
Left	13	10630	40	82	25
Micro	13	10630	41	82	0
Micro	13	10630	42	82	0
Micro	13	10630	43	82	1
Arab-Israeli	13	10630	44	82	0
Micro	13	10630	45	82	0
Right	13	10630	46	82	12
Micro	13	10630	47	82	3
Micro	13	10630	48	82	0
Micro	13	10630	49	82	1
Orthodox	13	10630	50	82	43
Right	13	10630	51	82	2
Left	13	10630	27	9900	12
Orthodox	13	10630	28	9900	8
Orthodox	13	10630	29	9900	0
Micro	13	10630	30	9900	0
Micro	13	10630	31	9900	0
Arab-Israeli	13	10630	32	9900	13
Micro	13	10630	33	9900	0
Right	13	10630	34	9900	0
Micro	13	10630	35	9900	0
Micro	13	10630	36	9900	0
Micro	13	10630	37	9900	0
Micro	13	10630	38	9900	0
Right	13	10630	39	9900	37
Left	13	10630	40	9900	3
Micro	13	10630	41	9900	0
Micro	13	10630	42	9900	0
Micro	13	10630	43	9900	0
Arab-Israeli	13	10630	44	9900	5
Micro	13	10630	45	9900	4
Right	13	10630	46	9900	1
Micro	13	10630	47	9900	0
Micro	13	10630	48	9900	0
Micro	13	10630	49	9900	4
Orthodox	13	10630	50	9900	6
Right	13	10630	51	9900	1
Left	13	10640	27	10	57
Orthodox	13	10640	28	10	4
Orthodox	13	10640	29	10	1
Micro	13	10640	30	10	0
Micro	13	10640	31	10	0
Arab-Israeli	13	10640	32	10	0
Micro	13	10640	33	10	1
Right	13	10640	34	10	1
Micro	13	10640	35	10	0
Micro	13	10640	36	10	0
Micro	13	10640	37	10	2
Micro	13	10640	38	10	0
Right	13	10640	39	10	20
Left	13	10640	40	10	63
Micro	13	10640	41	10	0
Micro	13	10640	42	10	1
Micro	13	10640	43	10	3
Arab-Israeli	13	10640	44	10	0
Micro	13	10640	45	10	0
Right	13	10640	46	10	16
Micro	13	10640	47	10	1
Micro	13	10640	48	10	0
Micro	13	10640	49	10	0
Orthodox	13	10640	50	10	4
Right	13	10640	51	10	0
Left	13	10650	27	10	32
Orthodox	13	10650	28	10	63
Orthodox	13	10650	29	10	2
Micro	13	10650	30	10	0
Micro	13	10650	31	10	0
Arab-Israeli	13	10650	32	10	0
Micro	13	10650	33	10	0
Right	13	10650	34	10	14
Micro	13	10650	35	10	0
Micro	13	10650	36	10	0
Micro	13	10650	37	10	0
Micro	13	10650	38	10	0
Right	13	10650	39	10	51
Left	13	10650	40	10	1
Micro	13	10650	41	10	0
Micro	13	10650	42	10	0
Micro	13	10650	43	10	0
Arab-Israeli	13	10650	44	10	0
Micro	13	10650	45	10	0
Right	13	10650	46	10	4
Micro	13	10650	47	10	0
Micro	13	10650	48	10	0
Micro	13	10650	49	10	0
Orthodox	13	10650	50	10	41
Right	13	10650	51	10	1
Left	13	10660	27	10	47
Orthodox	13	10660	28	10	211
Orthodox	13	10660	29	10	12
Micro	13	10660	30	10	0
Micro	13	10660	31	10	0
Arab-Israeli	13	10660	32	10	0
Micro	13	10660	33	10	0
Right	13	10660	34	10	15
Micro	13	10660	35	10	0
Micro	13	10660	36	10	1
Micro	13	10660	37	10	0
Micro	13	10660	38	10	0
Right	13	10660	39	10	283
Left	13	10660	40	10	4
Micro	13	10660	41	10	0
Micro	13	10660	42	10	0
Micro	13	10660	43	10	0
Arab-Israeli	13	10660	44	10	0
Micro	13	10660	45	10	0
Right	13	10660	46	10	14
Micro	13	10660	47	10	0
Micro	13	10660	48	10	18
Micro	13	10660	49	10	1
Orthodox	13	10660	50	10	66
Right	13	10660	51	10	5
Left	13	10670	27	10	49
Orthodox	13	10670	28	10	3
Orthodox	13	10670	29	10	8
Micro	13	10670	30	10	0
Micro	13	10670	31	10	0
Arab-Israeli	13	10670	32	10	0
Micro	13	10670	33	10	0
Right	13	10670	34	10	2
Micro	13	10670	35	10	0
Micro	13	10670	36	10	0
Micro	13	10670	37	10	0
Micro	13	10670	38	10	0
Right	13	10670	39	10	85
Left	13	10670	40	10	0
Micro	13	10670	41	10	0
Micro	13	10670	42	10	0
Micro	13	10670	43	10	0
Arab-Israeli	13	10670	44	10	0
Micro	13	10670	45	10	0
Right	13	10670	46	10	5
Micro	13	10670	47	10	0
Micro	13	10670	48	10	2
Micro	13	10670	49	10	3
Orthodox	13	10670	50	10	27
Right	13	10670	51	10	0
Left	13	10680	27	10	21
Orthodox	13	10680	28	10	0
Orthodox	13	10680	29	10	0
Micro	13	10680	30	10	2
Micro	13	10680	31	10	0
Arab-Israeli	13	10680	32	10	0
Micro	13	10680	33	10	0
Right	13	10680	34	10	0
Micro	13	10680	35	10	0
Micro	13	10680	36	10	0
Micro	13	10680	37	10	0
Micro	13	10680	38	10	0
Right	13	10680	39	10	6
Left	13	10680	40	10	64
Micro	13	10680	41	10	0
Micro	13	10680	42	10	0
Micro	13	10680	43	10	1
Arab-Israeli	13	10680	44	10	0
Micro	13	10680	45	10	0
Right	13	10680	46	10	0
Micro	13	10680	47	10	0
Micro	13	10680	48	10	0
Micro	13	10680	49	10	0
Orthodox	13	10680	50	10	3
Right	13	10680	51	10	0
Left	13	10690	27	10	170
Orthodox	13	10690	28	10	0
Orthodox	13	10690	29	10	1
Micro	13	10690	30	10	0
Micro	13	10690	31	10	0
Arab-Israeli	13	10690	32	10	0
Micro	13	10690	33	10	0
Right	13	10690	34	10	0
Micro	13	10690	35	10	0
Micro	13	10690	36	10	0
Micro	13	10690	37	10	0
Micro	13	10690	38	10	0
Right	13	10690	39	10	10
Left	13	10690	40	10	26
Micro	13	10690	41	10	0
Micro	13	10690	42	10	0
Micro	13	10690	43	10	0
Arab-Israeli	13	10690	44	10	0
Micro	13	10690	45	10	0
Right	13	10690	46	10	18
Micro	13	10690	47	10	0
Micro	13	10690	48	10	0
Micro	13	10690	49	10	0
Orthodox	13	10690	50	10	0
Right	13	10690	51	10	4
Left	13	10700	27	10	32
Orthodox	13	10700	28	10	31
Orthodox	13	10700	29	10	0
Micro	13	10700	30	10	0
Micro	13	10700	31	10	0
Arab-Israeli	13	10700	32	10	0
Micro	13	10700	33	10	0
Right	13	10700	34	10	7
Micro	13	10700	35	10	1
Micro	13	10700	36	10	1
Micro	13	10700	37	10	0
Micro	13	10700	38	10	0
Right	13	10700	39	10	34
Left	13	10700	40	10	4
Micro	13	10700	41	10	0
Micro	13	10700	42	10	0
Micro	13	10700	43	10	0
Arab-Israeli	13	10700	44	10	0
Micro	13	10700	45	10	0
Right	13	10700	46	10	6
Micro	13	10700	47	10	0
Micro	13	10700	48	10	0
Micro	13	10700	49	10	3
Orthodox	13	10700	50	10	6
Right	13	10700	51	10	4
Left	13	10710	27	10	21
Orthodox	13	10710	28	10	12
Orthodox	13	10710	29	10	8
Micro	13	10710	30	10	0
Micro	13	10710	31	10	0
Arab-Israeli	13	10710	32	10	0
Micro	13	10710	33	10	0
Right	13	10710	34	10	22
Micro	13	10710	35	10	0
Micro	13	10710	36	10	0
Micro	13	10710	37	10	0
Micro	13	10710	38	10	0
Right	13	10710	39	10	47
Left	13	10710	40	10	1
Micro	13	10710	41	10	1
Micro	13	10710	42	10	0
Micro	13	10710	43	10	0
Arab-Israeli	13	10710	44	10	0
Micro	13	10710	45	10	0
Right	13	10710	46	10	9
Micro	13	10710	47	10	0
Micro	13	10710	48	10	0
Micro	13	10710	49	10	4
Orthodox	13	10710	50	10	25
Right	13	10710	51	10	2
Left	13	10720	27	10	52
Orthodox	13	10720	28	10	2
Orthodox	13	10720	29	10	1
Micro	13	10720	30	10	0
Micro	13	10720	31	10	0
Arab-Israeli	13	10720	32	10	0
Micro	13	10720	33	10	0
Right	13	10720	34	10	5
Micro	13	10720	35	10	0
Micro	13	10720	36	10	0
Micro	13	10720	37	10	0
Micro	13	10720	38	10	0
Right	13	10720	39	10	89
Left	13	10720	40	10	7
Micro	13	10720	41	10	0
Micro	13	10720	42	10	0
Micro	13	10720	43	10	0
Arab-Israeli	13	10720	44	10	0
Micro	13	10720	45	10	0
Right	13	10720	46	10	31
Micro	13	10720	47	10	0
Micro	13	10720	48	10	0
Micro	13	10720	49	10	0
Orthodox	13	10720	50	10	2
Right	13	10720	51	10	1
Left	13	10790	27	10	33
Orthodox	13	10790	28	10	0
Orthodox	13	10790	29	10	0
Micro	13	10790	30	10	0
Micro	13	10790	31	10	0
Arab-Israeli	13	10790	32	10	1
Micro	13	10790	33	10	1
Right	13	10790	34	10	10
Micro	13	10790	35	10	0
Micro	13	10790	36	10	0
Micro	13	10790	37	10	0
Micro	13	10790	38	10	0
Right	13	10790	39	10	25
Left	13	10790	40	10	13
Micro	13	10790	41	10	0
Micro	13	10790	42	10	0
Micro	13	10790	43	10	1
Arab-Israeli	13	10790	44	10	0
Micro	13	10790	45	10	0
Right	13	10790	46	10	4
Micro	13	10790	47	10	0
Micro	13	10790	48	10	0
Micro	13	10790	49	10	6
Orthodox	13	10790	50	10	17
Right	13	10790	51	10	3
Left	13	10800	27	10	58
Orthodox	13	10800	28	10	4
Orthodox	13	10800	29	10	1
Micro	13	10800	30	10	0
Micro	13	10800	31	10	2
Arab-Israeli	13	10800	32	10	0
Micro	13	10800	33	10	0
Right	13	10800	34	10	2
Micro	13	10800	35	10	0
Micro	13	10800	36	10	0
Micro	13	10800	37	10	0
Micro	13	10800	38	10	0
Right	13	10800	39	10	185
Left	13	10800	40	10	6
Micro	13	10800	41	10	1
Micro	13	10800	42	10	0
Micro	13	10800	43	10	0
Arab-Israeli	13	10800	44	10	0
Micro	13	10800	45	10	0
Right	13	10800	46	10	11
Micro	13	10800	47	10	0
Micro	13	10800	48	10	0
Micro	13	10800	49	10	0
Orthodox	13	10800	50	10	1
Right	13	10800	51	10	2
Left	13	10810	27	10	60
Orthodox	13	10810	28	10	0
Orthodox	13	10810	29	10	1
Micro	13	10810	30	10	0
Micro	13	10810	31	10	1
Arab-Israeli	13	10810	32	10	0
Micro	13	10810	33	10	0
Right	13	10810	34	10	7
Micro	13	10810	35	10	0
Micro	13	10810	36	10	0
Micro	13	10810	37	10	0
Micro	13	10810	38	10	0
Right	13	10810	39	10	67
Left	13	10810	40	10	0
Micro	13	10810	41	10	0
Micro	13	10810	42	10	0
Micro	13	10810	43	10	0
Arab-Israeli	13	10810	44	10	0
Micro	13	10810	45	10	1
Right	13	10810	46	10	12
Micro	13	10810	47	10	0
Micro	13	10810	48	10	0
Micro	13	10810	49	10	0
Orthodox	13	10810	50	10	26
Right	13	10810	51	10	1
Left	13	10820	27	10	3
Orthodox	13	10820	28	10	26
Orthodox	13	10820	29	10	0
Micro	13	10820	30	10	0
Micro	13	10820	31	10	1
Arab-Israeli	13	10820	32	10	0
Micro	13	10820	33	10	0
Right	13	10820	34	10	5
Micro	13	10820	35	10	0
Micro	13	10820	36	10	0
Micro	13	10820	37	10	0
Micro	13	10820	38	10	0
Right	13	10820	39	10	308
Left	13	10820	40	10	8
Micro	13	10820	41	10	0
Micro	13	10820	42	10	0
Micro	13	10820	43	10	0
Arab-Israeli	13	10820	44	10	0
Micro	13	10820	45	10	0
Right	13	10820	46	10	2
Micro	13	10820	47	10	0
Micro	13	10820	48	10	10
Micro	13	10820	49	10	0
Orthodox	13	10820	50	10	8
Right	13	10820	51	10	2
Left	13	10840	27	10	107
Orthodox	13	10840	28	10	4
Orthodox	13	10840	29	10	0
Micro	13	10840	30	10	0
Micro	13	10840	31	10	0
Arab-Israeli	13	10840	32	10	1
Micro	13	10840	33	10	0
Right	13	10840	34	10	3
Micro	13	10840	35	10	2
Micro	13	10840	36	10	0
Micro	13	10840	37	10	0
Micro	13	10840	38	10	0
Right	13	10840	39	10	20
Left	13	10840	40	10	49
Micro	13	10840	41	10	0
Micro	13	10840	42	10	0
Micro	13	10840	43	10	1
Arab-Israeli	13	10840	44	10	0
Micro	13	10840	45	10	0
Right	13	10840	46	10	14
Micro	13	10840	47	10	0
Micro	13	10840	48	10	0
Micro	13	10840	49	10	0
Orthodox	13	10840	50	10	0
Right	13	10840	51	10	1
Left	13	10850	27	10	8
Orthodox	13	10850	28	10	0
Orthodox	13	10850	29	10	0
Micro	13	10850	30	10	0
Micro	13	10850	31	10	0
Arab-Israeli	13	10850	32	10	0
Micro	13	10850	33	10	0
Right	13	10850	34	10	2
Micro	13	10850	35	10	0
Micro	13	10850	36	10	0
Micro	13	10850	37	10	0
Micro	13	10850	38	10	0
Right	13	10850	39	10	6
Left	13	10850	40	10	50
Micro	13	10850	41	10	0
Micro	13	10850	42	10	0
Micro	13	10850	43	10	3
Arab-Israeli	13	10850	44	10	0
Micro	13	10850	45	10	0
Right	13	10850	46	10	1
Micro	13	10850	47	10	0
Micro	13	10850	48	10	0
Micro	13	10850	49	10	0
Orthodox	13	10850	50	10	0
Right	13	10850	51	10	6
Left	13	10950	27	10	11
Orthodox	13	10950	28	10	236
Orthodox	13	10950	29	10	2
Micro	13	10950	30	10	0
Micro	13	10950	31	10	0
Arab-Israeli	13	10950	32	10	0
Micro	13	10950	33	10	0
Right	13	10950	34	10	25
Micro	13	10950	35	10	0
Micro	13	10950	36	10	2
Micro	13	10950	37	10	0
Micro	13	10950	38	10	0
Right	13	10950	39	10	25
Left	13	10950	40	10	1
Micro	13	10950	41	10	0
Micro	13	10950	42	10	0
Micro	13	10950	43	10	0
Arab-Israeli	13	10950	44	10	2
Micro	13	10950	45	10	0
Right	13	10950	46	10	17
Micro	13	10950	47	10	0
Micro	13	10950	48	10	3
Micro	13	10950	49	10	0
Orthodox	13	10950	50	10	5
Right	13	10950	51	10	6
Left	13	10980	27	10	13
Orthodox	13	10980	28	10	181
Orthodox	13	10980	29	10	0
Micro	13	10980	30	10	0
Micro	13	10980	31	10	0
Arab-Israeli	13	10980	32	10	0
Micro	13	10980	33	10	0
Right	13	10980	34	10	11
Micro	13	10980	35	10	0
Micro	13	10980	36	10	2
Micro	13	10980	37	10	0
Micro	13	10980	38	10	0
Right	13	10980	39	10	39
Left	13	10980	40	10	0
Micro	13	10980	41	10	0
Micro	13	10980	42	10	0
Micro	13	10980	43	10	0
Arab-Israeli	13	10980	44	10	0
Micro	13	10980	45	10	0
Right	13	10980	46	10	9
Micro	13	10980	47	10	0
Micro	13	10980	48	10	2
Micro	13	10980	49	10	0
Orthodox	13	10980	50	10	1
Right	13	10980	51	10	5
Left	13	11040	27	10	9
Orthodox	13	11040	28	10	3
Orthodox	13	11040	29	10	3
Micro	13	11040	30	10	0
Micro	13	11040	31	10	0
Arab-Israeli	13	11040	32	10	0
Micro	13	11040	33	10	0
Right	13	11040	34	10	1
Micro	13	11040	35	10	0
Micro	13	11040	36	10	0
Micro	13	11040	37	10	0
Micro	13	11040	38	10	0
Right	13	11040	39	10	42
Left	13	11040	40	10	0
Micro	13	11040	41	10	0
Micro	13	11040	42	10	0
Micro	13	11040	43	10	0
Arab-Israeli	13	11040	44	10	0
Micro	13	11040	45	10	0
Right	13	11040	46	10	6
Micro	13	11040	47	10	0
Micro	13	11040	48	10	0
Micro	13	11040	49	10	0
Orthodox	13	11040	50	10	21
Right	13	11040	51	10	0
Left	13	11050	27	10	85
Orthodox	13	11050	28	10	34
Orthodox	13	11050	29	10	3
Micro	13	11050	30	10	3
Micro	13	11050	31	10	3
Arab-Israeli	13	11050	32	10	0
Micro	13	11050	33	10	0
Right	13	11050	34	10	12
Micro	13	11050	35	10	2
Micro	13	11050	36	10	9
Micro	13	11050	37	10	0
Micro	13	11050	38	10	0
Right	13	11050	39	10	231
Left	13	11050	40	10	9
Micro	13	11050	41	10	0
Micro	13	11050	42	10	0
Micro	13	11050	43	10	0
Arab-Israeli	13	11050	44	10	1
Micro	13	11050	45	10	0
Right	13	11050	46	10	13
Micro	13	11050	47	10	0
Micro	13	11050	48	10	1
Micro	13	11050	49	10	3
Orthodox	13	11050	50	10	22
Right	13	11050	51	10	2
Left	13	11060	27	10	2
Orthodox	13	11060	28	10	1
Orthodox	13	11060	29	10	0
Micro	13	11060	30	10	0
Micro	13	11060	31	10	1
Arab-Israeli	13	11060	32	10	0
Micro	13	11060	33	10	0
Right	13	11060	34	10	0
Micro	13	11060	35	10	0
Micro	13	11060	36	10	0
Micro	13	11060	37	10	0
Micro	13	11060	38	10	0
Right	13	11060	39	10	99
Left	13	11060	40	10	0
Micro	13	11060	41	10	0
Micro	13	11060	42	10	0
Micro	13	11060	43	10	0
Arab-Israeli	13	11060	44	10	0
Micro	13	11060	45	10	0
Right	13	11060	46	10	1
Micro	13	11060	47	10	0
Micro	13	11060	48	10	1
Micro	13	11060	49	10	0
Orthodox	13	11060	50	10	0
Right	13	11060	51	10	0
Left	13	11120	27	10	75
Orthodox	13	11120	28	10	3
Orthodox	13	11120	29	10	0
Micro	13	11120	30	10	0
Micro	13	11120	31	10	0
Arab-Israeli	13	11120	32	10	0
Micro	13	11120	33	10	0
Right	13	11120	34	10	0
Micro	13	11120	35	10	0
Micro	13	11120	36	10	0
Micro	13	11120	37	10	1
Micro	13	11120	38	10	0
Right	13	11120	39	10	3
Left	13	11120	40	10	60
Micro	13	11120	41	10	0
Micro	13	11120	42	10	0
Micro	13	11120	43	10	1
Arab-Israeli	13	11120	44	10	0
Micro	13	11120	45	10	0
Right	13	11120	46	10	10
Micro	13	11120	47	10	0
Micro	13	11120	48	10	0
Micro	13	11120	49	10	6
Orthodox	13	11120	50	10	0
Right	13	11120	51	10	0
Left	13	11130	27	10	49
Orthodox	13	11130	28	10	0
