Bloc	Knesset	Locality	Station	Votes
Left	22	967	1	0
Orthodox	22	967	1	1
Arab-Israeli	22	967	1	100
Micro	22	967	1	1
Right	22	967	1	0
Secular Centre	22	967	1	9
Left	22	967	2	3
Orthodox	22	967	2	0
Arab-Israeli	22	967	2	202
Micro	22	967	2	4
Right	22	967	2	2
Secular Centre	22	967	2	12
Left	22	967	3	0
Orthodox	22	967	3	0
Arab-Israeli	22	967	3	196
Micro	22	967	3	1
Right	22	967	3	1
Secular Centre	22	967	3	1
Left	22	472	1	28
Orthodox	22	472	1	5
Arab-Israeli	22	472	1	194
Micro	22	472	1	4
Right	22	472	1	9
Secular Centre	22	472	1	25
Left	22	472	2	12
Orthodox	22	472	2	6
Arab-Israeli	22	472	2	290
Micro	22	472	2	8
Right	22	472	2	8
Secular Centre	22	472	2	33
Left	22	472	3	16
Orthodox	22	472	3	19
Arab-Israeli	22	472	3	217
Micro	22	472	3	9
Right	22	472	3	31
Secular Centre	22	472	3	40
Left	22	472	4	21
Orthodox	22	472	4	3
Arab-Israeli	22	472	4	281
Micro	22	472	4	13
Right	22	472	4	25
Secular Centre	22	472	4	55
Left	22	472	5	17
Orthodox	22	472	5	4
Arab-Israeli	22	472	5	148
Micro	22	472	5	9
Right	22	472	5	18
Secular Centre	22	472	5	31
Left	22	472	6	12
Orthodox	22	472	6	2
Arab-Israeli	22	472	6	260
Micro	22	472	6	5
Right	22	472	6	12
Secular Centre	22	472	6	41
Left	22	472	7	8
Orthodox	22	472	7	12
Arab-Israeli	22	472	7	194
Micro	22	472	7	8
Right	22	472	7	22
Secular Centre	22	472	7	43
Left	22	472	8	8
Orthodox	22	472	8	6
Arab-Israeli	22	472	8	148
Micro	22	472	8	11
Right	22	472	8	8
Secular Centre	22	472	8	27
Left	22	473	1	10
Orthodox	22	473	1	4
Arab-Israeli	22	473	1	395
Micro	22	473	1	12
Right	22	473	1	21
Secular Centre	22	473	1	22
Left	22	473	2	9
Orthodox	22	473	2	12
Arab-Israeli	22	473	2	403
Micro	22	473	2	8
Right	22	473	2	4
Secular Centre	22	473	2	16
Left	22	473	3	13
Orthodox	22	473	3	5
Arab-Israeli	22	473	3	257
Micro	22	473	3	4
Right	22	473	3	73
Secular Centre	22	473	3	83
Left	22	473	4	6
Orthodox	22	473	4	13
Arab-Israeli	22	473	4	299
Micro	22	473	4	3
Right	22	473	4	41
Secular Centre	22	473	4	37
Left	22	473	5	11
Orthodox	22	473	5	13
Arab-Israeli	22	473	5	350
Micro	22	473	5	0
Right	22	473	5	27
Secular Centre	22	473	5	50
Left	22	473	6	9
Orthodox	22	473	6	28
Arab-Israeli	22	473	6	334
Micro	22	473	6	3
Right	22	473	6	62
Secular Centre	22	473	6	59
Left	22	473	7	14
Orthodox	22	473	7	34
Arab-Israeli	22	473	7	296
Micro	22	473	7	2
Right	22	473	7	41
Secular Centre	22	473	7	72
Left	22	473	8	5
Orthodox	22	473	8	36
Arab-Israeli	22	473	8	328
Micro	22	473	8	10
Right	22	473	8	27
Secular Centre	22	473	8	25
Left	22	473	9	10
Orthodox	22	473	9	17
Arab-Israeli	22	473	9	278
Micro	22	473	9	6
Right	22	473	9	33
Secular Centre	22	473	9	48
Left	22	473	10	15
Orthodox	22	473	10	8
Arab-Israeli	22	473	10	292
Micro	22	473	10	5
Right	22	473	10	32
Secular Centre	22	473	10	63
Left	22	473	11	13
Orthodox	22	473	11	22
Arab-Israeli	22	473	11	162
Micro	22	473	11	2
Right	22	473	11	99
Secular Centre	22	473	11	99
Left	22	473	12	17
Orthodox	22	473	12	35
Arab-Israeli	22	473	12	126
Micro	22	473	12	9
Right	22	473	12	94
Secular Centre	22	473	12	145
Left	22	473	13	11
Orthodox	22	473	13	4
Arab-Israeli	22	473	13	239
Micro	22	473	13	4
Right	22	473	13	60
Secular Centre	22	473	13	83
Left	22	958	1	0
Orthodox	22	958	1	0
Arab-Israeli	22	958	1	45
Micro	22	958	1	0
Right	22	958	1	0
Secular Centre	22	958	1	1
Left	22	968	1	6
Orthodox	22	968	1	1
Arab-Israeli	22	968	1	297
Micro	22	968	1	3
Right	22	968	1	3
Secular Centre	22	968	1	19
Left	22	968	2	4
Orthodox	22	968	2	0
Arab-Israeli	22	968	2	280
Micro	22	968	2	8
Right	22	968	2	3
Secular Centre	22	968	2	15
Left	22	968	3	6
Orthodox	22	968	3	2
Arab-Israeli	22	968	3	254
Micro	22	968	3	5
Right	22	968	3	7
Secular Centre	22	968	3	17
Left	22	968	4	5
Orthodox	22	968	4	2
Arab-Israeli	22	968	4	260
Micro	22	968	4	2
Right	22	968	4	1
Secular Centre	22	968	4	9
Left	22	1342	1	26
Orthodox	22	1342	1	1
Arab-Israeli	22	1342	1	186
Micro	22	1342	1	1
Right	22	1342	1	10
Secular Centre	22	1342	1	65
Left	22	966	1	26
Orthodox	22	966	1	6
Arab-Israeli	22	966	1	1272
Micro	22	966	1	39
Right	22	966	1	18
Secular Centre	22	966	1	86
Left	22	961	1	2
Orthodox	22	961	1	0
Arab-Israeli	22	961	1	162
Micro	22	961	1	2
Right	22	961	1	1
Secular Centre	22	961	1	3
Left	22	961	2	1
Orthodox	22	961	2	0
Arab-Israeli	22	961	2	268
Micro	22	961	2	1
Right	22	961	2	0
Secular Centre	22	961	2	11
Left	22	961	3	4
Orthodox	22	961	3	0
Arab-Israeli	22	961	3	271
Micro	22	961	3	3
Right	22	961	3	1
Secular Centre	22	961	3	8
Left	22	961	4	3
Orthodox	22	961	4	3
Arab-Israeli	22	961	4	310
Micro	22	961	4	2
Right	22	961	4	0
Secular Centre	22	961	4	7
Left	22	961	5	2
Orthodox	22	961	5	1
Arab-Israeli	22	961	5	271
Micro	22	961	5	1
Right	22	961	5	1
Secular Centre	22	961	5	2
Left	22	961	6	1
Orthodox	22	961	6	1
Arab-Israeli	22	961	6	298
Micro	22	961	6	1
Right	22	961	6	4
Secular Centre	22	961	6	8
Left	22	961	7	1
Orthodox	22	961	7	0
Arab-Israeli	22	961	7	237
Micro	22	961	7	1
Right	22	961	7	1
Secular Centre	22	961	7	14
Left	22	1375	1	2
Orthodox	22	1375	1	2
Arab-Israeli	22	1375	1	276
Micro	22	1375	1	0
Right	22	1375	1	2
Secular Centre	22	1375	1	1
Left	22	1375	2	2
Orthodox	22	1375	2	1
Arab-Israeli	22	1375	2	329
Micro	22	1375	2	4
Right	22	1375	2	0
Secular Centre	22	1375	2	2
Left	22	652	1	11
Orthodox	22	652	1	0
Arab-Israeli	22	652	1	209
Micro	22	652	1	8
Right	22	652	1	3
