Bloc	Knesset	Locality	Station	Votes
Secular Centre	22	652	1	36
Left	22	652	2	6
Orthodox	22	652	2	0
Arab-Israeli	22	652	2	215
Micro	22	652	2	3
Right	22	652	2	1
Secular Centre	22	652	2	29
Left	22	652	3	5
Orthodox	22	652	3	10
Arab-Israeli	22	652	3	338
Micro	22	652	3	1
Right	22	652	3	5
Secular Centre	22	652	3	19
Left	22	1275	1	53
Orthodox	22	1275	1	0
Arab-Israeli	22	1275	1	3
Micro	22	1275	1	0
Right	22	1275	1	42
Secular Centre	22	1275	1	135
Left	22	679	1	97
Orthodox	22	679	1	5
Arab-Israeli	22	679	1	3
Micro	22	679	1	16
Right	22	679	1	95
Secular Centre	22	679	1	183
Left	22	1115	1	5
Orthodox	22	1115	1	61
Arab-Israeli	22	1115	1	0
Micro	22	1115	1	3
Right	22	1115	1	163
Secular Centre	22	1115	1	2
Left	22	819	1	89
Orthodox	22	819	1	7
Arab-Israeli	22	819	1	0
Micro	22	819	1	44
Right	22	819	1	71
Secular Centre	22	819	1	277
Left	22	175	1	67
Orthodox	22	175	1	1
Arab-Israeli	22	175	1	2
Micro	22	175	1	7
Right	22	175	1	59
Secular Centre	22	175	1	150
Left	22	175	2	80
Orthodox	22	175	2	6
Arab-Israeli	22	175	2	3
Micro	22	175	2	2
Right	22	175	2	73
Secular Centre	22	175	2	282
Left	22	2052	1	8
Orthodox	22	2052	1	33
Arab-Israeli	22	2052	1	0
Micro	22	2052	1	5
Right	22	2052	1	231
Secular Centre	22	2052	1	29
Left	22	1070	1	52
Orthodox	22	1070	1	15
Arab-Israeli	22	1070	1	5
Micro	22	1070	1	34
Right	22	1070	1	215
Secular Centre	22	1070	1	120
Left	22	1220	1	61
Orthodox	22	1220	1	2
Arab-Israeli	22	1220	1	0
Micro	22	1220	1	0
Right	22	1220	1	8
Secular Centre	22	1220	1	64
Left	22	182	1	138
Orthodox	22	182	1	90
Arab-Israeli	22	182	1	0
Micro	22	182	1	5
Right	22	182	1	637
Secular Centre	22	182	1	413
Left	22	182	2	50
Orthodox	22	182	2	28
Arab-Israeli	22	182	2	0
Micro	22	182	2	1
Right	22	182	2	167
Secular Centre	22	182	2	167
Left	22	182	3	81
Orthodox	22	182	3	2
Arab-Israeli	22	182	3	2
Micro	22	182	3	2
Right	22	182	3	119
Secular Centre	22	182	3	330
Left	22	182	4	101
Orthodox	22	182	4	5
Arab-Israeli	22	182	4	1
Micro	22	182	4	2
Right	22	182	4	106
Secular Centre	22	182	4	334
Left	22	182	5	49
Orthodox	22	182	5	13
Arab-Israeli	22	182	5	1
Micro	22	182	5	4
Right	22	182	5	147
Secular Centre	22	182	5	221
Left	22	182	6	71
Orthodox	22	182	6	6
Arab-Israeli	22	182	6	1
Micro	22	182	6	2
Right	22	182	6	104
Secular Centre	22	182	6	311
Left	22	182	7	71
Orthodox	22	182	7	4
Arab-Israeli	22	182	7	0
Micro	22	182	7	0
Right	22	182	7	154
Secular Centre	22	182	7	396
Left	22	182	9	115
Orthodox	22	182	9	1
Arab-Israeli	22	182	9	3
Micro	22	182	9	1
Right	22	182	9	87
Secular Centre	22	182	9	330
Left	22	182	10	59
Orthodox	22	182	10	17
Arab-Israeli	22	182	10	0
Micro	22	182	10	0
Right	22	182	10	186
Secular Centre	22	182	10	222
Left	22	182	11	87
Orthodox	22	182	11	4
Arab-Israeli	22	182	11	1
Micro	22	182	11	3
Right	22	182	11	146
Secular Centre	22	182	11	328
Left	22	182	12	96
Orthodox	22	182	12	7
Arab-Israeli	22	182	12	2
Micro	22	182	12	1
Right	22	182	12	96
Secular Centre	22	182	12	267
Left	22	182	14	108
Orthodox	22	182	14	16
Arab-Israeli	22	182	14	1
Micro	22	182	14	1
Right	22	182	14	148
Secular Centre	22	182	14	313
Left	22	182	15	93
Orthodox	22	182	15	2
Arab-Israeli	22	182	15	1
Micro	22	182	15	0
Right	22	182	15	98
Secular Centre	22	182	15	324
Left	22	1081	1	33
Orthodox	22	1081	1	23
Arab-Israeli	22	1081	1	0
Micro	22	1081	1	7
Right	22	1081	1	108
Secular Centre	22	1081	1	24
Left	22	783	1	20
Orthodox	22	783	1	13
Arab-Israeli	22	783	1	1
Micro	22	783	1	150
Right	22	783	1	131
Secular Centre	22	783	1	46
Left	22	400	1	7
Orthodox	22	400	1	50
Arab-Israeli	22	400	1	0
Micro	22	400	1	0
Right	22	400	1	346
Secular Centre	22	400	1	2
Left	22	400	2	6
Orthodox	22	400	2	40
Arab-Israeli	22	400	2	0
Micro	22	400	2	0
Right	22	400	2	316
Secular Centre	22	400	2	6
Left	22	4011	1	9
Orthodox	22	4011	1	11
Arab-Israeli	22	4011	1	1
Micro	22	4011	1	5
Right	22	4011	1	258
Secular Centre	22	4011	1	22
Left	22	3793	1	0
Orthodox	22	3793	1	33
Arab-Israeli	22	3793	1	0
Micro	22	3793	1	2
Right	22	3793	1	372
Secular Centre	22	3793	1	3
Left	22	3793	2	0
Orthodox	22	3793	2	60
Arab-Israeli	22	3793	2	0
Micro	22	3793	2	1
Right	22	3793	2	391
Secular Centre	22	3793	2	1
Left	22	1311	1	6
Orthodox	22	1311	1	3
Arab-Israeli	22	1311	1	0
Micro	22	1311	1	5
Right	22	1311	1	115
Secular Centre	22	1311	1	26
Left	22	3759	1	3
Orthodox	22	3759	1	5
Arab-Israeli	22	3759	1	1
Micro	22	3759	1	2
Right	22	3759	1	147
Secular Centre	22	3759	1	32
Left	22	113	1	2
Orthodox	22	113	1	70
Arab-Israeli	22	113	1	0
Micro	22	113	1	2
Right	22	113	1	108
Secular Centre	22	113	1	9
Left	22	1068	1	70
Orthodox	22	1068	1	1
Arab-Israeli	22	1068	1	5
Micro	22	1068	1	4
Right	22	1068	1	51
Secular Centre	22	1068	1	67
Left	22	1123	1	25
Orthodox	22	1123	1	36
Arab-Israeli	22	1123	1	0
Micro	22	1123	1	46
Right	22	1123	1	250
Secular Centre	22	1123	1	39
Left	22	446	1	49
Orthodox	22	446	1	3
Arab-Israeli	22	446	1	0
Micro	22	446	1	7
Right	22	446	1	61
Secular Centre	22	446	1	172
Left	22	446	2	63
Orthodox	22	446	2	4
Arab-Israeli	22	446	2	1
Micro	22	446	2	4
Right	22	446	2	58
Secular Centre	22	446	2	195
Left	22	4010	1	19
Orthodox	22	4010	1	0
Arab-Israeli	22	4010	1	0
Micro	22	4010	1	9
Right	22	4010	1	22
Secular Centre	22	4010	1	48
Left	22	1046	1	18
Orthodox	22	1046	1	4
Arab-Israeli	22	1046	1	2
Micro	22	1046	1	7
Right	22	1046	1	79
Secular Centre	22	1046	1	63
Left	22	2710	1	2
Orthodox	22	2710	1	1
Arab-Israeli	22	2710	1	286
Micro	22	2710	1	7
Right	22	2710	1	2
Secular Centre	22	2710	1	0
Left	22	2710	2	6
Orthodox	22	2710	2	0
Arab-Israeli	22	2710	2	371
Micro	22	2710	2	1
Right	22	2710	2	3
Secular Centre	22	2710	2	4
Left	22	2710	3	6
Orthodox	22	2710	3	1
Arab-Israeli	22	2710	3	341
Micro	22	2710	3	2
Right	22	2710	3	0
Secular Centre	22	2710	3	4
Left	22	2710	4	8
Orthodox	22	2710	4	0
Arab-Israeli	22	2710	4	372
Micro	22	2710	4	3
Right	22	2710	4	2
Secular Centre	22	2710	4	1
Left	22	2710	5	6
Orthodox	22	2710	5	1
Arab-Israeli	22	2710	5	345
Micro	22	2710	5	5
Right	22	2710	5	4
Secular Centre	22	2710	5	3
Left	22	2710	6	8
Orthodox	22	2710	6	0
Arab-Israeli	22	2710	6	345
Micro	22	2710	6	0
Right	22	2710	6	2
Secular Centre	22	2710	6	4
Left	22	2710	7	8
Orthodox	22	2710	7	2
Arab-Israeli	22	2710	7	296
Micro	22	2710	7	1
Right	22	2710	7	8
Secular Centre	22	2710	7	6
Left	22	2710	8	5
Orthodox	22	2710	8	0
Arab-Israeli	22	2710	8	269
Micro	22	2710	8	5
Right	22	2710	8	0
Secular Centre	22	2710	8	3
Left	22	2710	9	9
Orthodox	22	2710	9	0
Arab-Israeli	22	2710	9	334
Micro	22	2710	9	0
Right	22	2710	9	1
Secular Centre	22	2710	9	3
Left	22	2710	10	20
Orthodox	22	2710	10	0
Arab-Israeli	22	2710	10	368
Micro	22	2710	10	2
Right	22	2710	10	1
Secular Centre	22	2710	10	15
Left	22	2710	11	2
Orthodox	22	2710	11	1
Arab-Israeli	22	2710	11	332
Micro	22	2710	11	3
Right	22	2710	11	2
Secular Centre	22	2710	11	9
Left	22	2710	12	23
Orthodox	22	2710	12	1
Arab-Israeli	22	2710	12	1207
Micro	22	2710	12	14
Right	22	2710	12	11
Secular Centre	22	2710	12	9
Left	22	2710	14	13
Orthodox	22	2710	14	1
Arab-Israeli	22	2710	14	247
Micro	22	2710	14	3
Right	22	2710	14	1
Secular Centre	22	2710	14	1
Left	22	2710	16	10
Orthodox	22	2710	16	1
Arab-Israeli	22	2710	16	238
Micro	22	2710	16	6
Right	22	2710	16	0
Secular Centre	22	2710	16	1
Left	22	2710	17	9
Orthodox	22	2710	17	0
Arab-Israeli	22	2710	17	236
Micro	22	2710	17	2
Right	22	2710	17	2
Secular Centre	22	2710	17	2
Left	22	2710	18	2
Orthodox	22	2710	18	0
Arab-Israeli	22	2710	18	388
Micro	22	2710	18	6
Right	22	2710	18	0
Secular Centre	22	2710	18	7
Left	22	2710	19	7
Orthodox	22	2710	19	0
Arab-Israeli	22	2710	19	390
Micro	22	2710	19	4
Right	22	2710	19	4
Secular Centre	22	2710	19	0
Left	22	2710	20	3
Orthodox	22	2710	20	0
Arab-Israeli	22	2710	20	349
Micro	22	2710	20	4
Right	22	2710	20	2
Secular Centre	22	2710	20	4
Left	22	2710	21	23
Orthodox	22	2710	21	1
Arab-Israeli	22	2710	21	396
Micro	22	2710	21	4
Right	22	2710	21	3
Secular Centre	22	2710	21	1
Left	22	2710	22	5
Orthodox	22	2710	22	0
Arab-Israeli	22	2710	22	270
Micro	22	2710	22	2
Right	22	2710	22	4
Secular Centre	22	2710	22	3
Left	22	2710	23	3
Orthodox	22	2710	23	1
Arab-Israeli	22	2710	23	334
Micro	22	2710	23	6
Right	22	2710	23	1
Secular Centre	22	2710	23	3
Left	22	2710	24	2
Orthodox	22	2710	24	0
Arab-Israeli	22	2710	24	304
Micro	22	2710	24	4
Right	22	2710	24	1
Secular Centre	22	2710	24	4
Left	22	2710	25	4
Orthodox	22	2710	25	0
Arab-Israeli	22	2710	25	321
Micro	22	2710	25	3
Right	22	2710	25	1
Secular Centre	22	2710	25	1
Left	22	2710	26	8
Orthodox	22	2710	26	0
Arab-Israeli	22	2710	26	338
Micro	22	2710	26	1
Right	22	2710	26	2
Secular Centre	22	2710	26	8
Left	22	2710	28	6
Orthodox	22	2710	28	0
Arab-Israeli	22	2710	28	353
Micro	22	2710	28	2
Right	22	2710	28	0
Secular Centre	22	2710	28	4
Left	22	2710	29	2
Orthodox	22	2710	29	1
Arab-Israeli	22	2710	29	279
Micro	22	2710	29	4
Right	22	2710	29	1
Secular Centre	22	2710	29	1
Left	22	2710	30	4
Orthodox	22	2710	30	0
Arab-Israeli	22	2710	30	291
Micro	22	2710	30	3
Right	22	2710	30	2
Secular Centre	22	2710	30	5
Left	22	2710	31	2
Orthodox	22	2710	31	0
Arab-Israeli	22	2710	31	315
Micro	22	2710	31	3
Right	22	2710	31	4
Secular Centre	22	2710	31	1
Left	22	2710	32	23
Orthodox	22	2710	32	2
Arab-Israeli	22	2710	32	892
Micro	22	2710	32	8
Right	22	2710	32	0
Secular Centre	22	2710	32	5
Left	22	2710	33	6
Orthodox	22	2710	33	0
Arab-Israeli	22	2710	33	339
Micro	22	2710	33	8
Right	22	2710	33	0
Secular Centre	22	2710	33	4
Left	22	2710	34	7
Orthodox	22	2710	34	0
Arab-Israeli	22	2710	34	265
Micro	22	2710	34	5
Right	22	2710	34	4
Secular Centre	22	2710	34	5
Left	22	2710	35	6
Orthodox	22	2710	35	2
Arab-Israeli	22	2710	35	282
Micro	22	2710	35	0
Right	22	2710	35	0
Secular Centre	22	2710	35	4
Left	22	2710	36	0
Orthodox	22	2710	36	0
Arab-Israeli	22	2710	36	321
Micro	22	2710	36	0
Right	22	2710	36	0
Secular Centre	22	2710	36	3
Left	22	2710	39	10
Orthodox	22	2710	39	0
Arab-Israeli	22	2710	39	247
Micro	22	2710	39	3
Right	22	2710	39	2
Secular Centre	22	2710	39	4
Left	22	2710	41	8
Orthodox	22	2710	41	0
Arab-Israeli	22	2710	41	411
Micro	22	2710	41	4
Right	22	2710	41	0
Secular Centre	22	2710	41	6
Left	22	2710	42	2
Orthodox	22	2710	42	0
Arab-Israeli	22	2710	42	349
Micro	22	2710	42	5
Right	22	2710	42	0
Secular Centre	22	2710	42	6
Left	22	2710	43	3
Orthodox	22	2710	43	0
Arab-Israeli	22	2710	43	486
Micro	22	2710	43	1
Right	22	2710	43	0
Secular Centre	22	2710	43	2
Left	22	2710	44	0
Orthodox	22	2710	44	0
Arab-Israeli	22	2710	44	273
Micro	22	2710	44	2
Right	22	2710	44	1
Secular Centre	22	2710	44	1
Left	22	2710	45	5
Orthodox	22	2710	45	1
Arab-Israeli	22	2710	45	379
Micro	22	2710	45	2
Right	22	2710	45	2
Secular Centre	22	2710	45	3
Left	22	2710	46	2
Orthodox	22	2710	46	0
Arab-Israeli	22	2710	46	292
Micro	22	2710	46	1
Right	22	2710	46	3
Secular Centre	22	2710	46	2
Left	22	2710	47	5
Orthodox	22	2710	47	0
Arab-Israeli	22	2710	47	275
Micro	22	2710	47	2
Right	22	2710	47	1
Secular Centre	22	2710	47	1
Left	22	2710	48	6
Orthodox	22	2710	48	0
Arab-Israeli	22	2710	48	341
Micro	22	2710	48	5
Right	22	2710	48	2
Secular Centre	22	2710	48	1
Left	22	2710	49	10
Orthodox	22	2710	49	0
Arab-Israeli	22	2710	49	294
Micro	22	2710	49	2
Right	22	2710	49	1
Secular Centre	22	2710	49	3
Left	22	2710	50	3
Orthodox	22	2710	50	0
Arab-Israeli	22	2710	50	373
Micro	22	2710	50	3
Right	22	2710	50	0
Secular Centre	22	2710	50	2
Left	22	2710	51	4
Orthodox	22	2710	51	0
Arab-Israeli	22	2710	51	300
Micro	22	2710	51	4
Right	22	2710	51	0
Secular Centre	22	2710	51	5
Left	22	2710	53	2
Orthodox	22	2710	53	0
Arab-Israeli	22	2710	53	279
Micro	22	2710	53	1
Right	22	2710	53	1
Secular Centre	22	2710	53	3
Left	22	2710	54	6
Orthodox	22	2710	54	0
Arab-Israeli	22	2710	54	287
Micro	22	2710	54	0
Right	22	2710	54	0
Secular Centre	22	2710	54	1
Left	22	2710	55	1
Orthodox	22	2710	55	0
Arab-Israeli	22	2710	55	216
Micro	22	2710	55	1
Right	22	2710	55	0
Secular Centre	22	2710	55	1
Left	22	2710	56	4
Orthodox	22	2710	56	0
Arab-Israeli	22	2710	56	293
Micro	22	2710	56	2
Right	22	2710	56	0
Secular Centre	22	2710	56	0
Left	22	2024	1	36
Orthodox	22	2024	1	20
Arab-Israeli	22	2024	1	414
Micro	22	2024	1	22
Right	22	2024	1	6
Secular Centre	22	2024	1	8
Left	22	1358	1	2
Orthodox	22	1358	1	1
Arab-Israeli	22	1358	1	328
Micro	22	1358	1	6
Right	22	1358	1	4
Secular Centre	22	1358	1	13
Left	22	1358	2	5
Orthodox	22	1358	2	1
Arab-Israeli	22	1358	2	338
Micro	22	1358	2	8
Right	22	1358	2	3
Secular Centre	22	1358	2	9
Left	22	1358	3	7
Orthodox	22	1358	3	1
Arab-Israeli	22	1358	3	322
Micro	22	1358	3	12
Right	22	1358	3	2
Secular Centre	22	1358	3	16
Left	22	1108	1	7
Orthodox	22	1108	1	15
Arab-Israeli	22	1108	1	0
Micro	22	1108	1	0
Right	22	1108	1	167
Secular Centre	22	1108	1	32
Left	22	680	1	81
Orthodox	22	680	1	3
Arab-Israeli	22	680	1	0
Micro	22	680	1	14
Right	22	680	1	64
Secular Centre	22	680	1	237
Left	22	31	1	19
Orthodox	22	31	1	53
Arab-Israeli	22	31	1	0
Micro	22	31	1	1
Right	22	31	1	130
Secular Centre	22	31	1	10
Left	22	31	2	21
Orthodox	22	31	2	111
Arab-Israeli	22	31	2	1
Micro	22	31	2	1
Right	22	31	2	190
Secular Centre	22	31	2	25
Left	22	31	3	13
Orthodox	22	31	3	62
Arab-Israeli	22	31	3	1
Micro	22	31	3	5
Right	22	31	3	209
Secular Centre	22	31	3	29
Left	22	31	4	34
Orthodox	22	31	4	90
Arab-Israeli	22	31	4	0
Micro	22	31	4	3
Right	22	31	4	195
Secular Centre	22	31	4	25
Left	22	31	5	9
Orthodox	22	31	5	28
Arab-Israeli	22	31	5	0
Micro	22	31	5	4
Right	22	31	5	157
Secular Centre	22	31	5	31
Left	22	31	6	38
Orthodox	22	31	6	140
Arab-Israeli	22	31	6	0
Micro	22	31	6	11
Right	22	31	6	647
Secular Centre	22	31	6	94
Left	22	31	7	12
Orthodox	22	31	7	57
Arab-Israeli	22	31	7	0
Micro	22	31	7	3
Right	22	31	7	230
Secular Centre	22	31	7	15
Left	22	31	9	26
Orthodox	22	31	9	43
Arab-Israeli	22	31	9	4
Micro	22	31	9	3
Right	22	31	9	226
Secular Centre	22	31	9	38
Left	22	31	10	1
Orthodox	22	31	10	379
Arab-Israeli	22	31	10	1
Micro	22	31	10	2
Right	22	31	10	69
Secular Centre	22	31	10	6
Left	22	31	11	2
Orthodox	22	31	11	391
Arab-Israeli	22	31	11	0
Micro	22	31	11	1
Right	22	31	11	50
Secular Centre	22	31	11	6
Left	22	31	12	3
Orthodox	22	31	12	524
Arab-Israeli	22	31	12	0
Micro	22	31	12	0
Right	22	31	12	61
Secular Centre	22	31	12	4
Left	22	31	13	20
Orthodox	22	31	13	159
Arab-Israeli	22	31	13	0
Micro	22	31	13	3
Right	22	31	13	179
Secular Centre	22	31	13	22
Left	22	31	14	1
Orthodox	22	31	14	425
Arab-Israeli	22	31	14	0
Micro	22	31	14	0
Right	22	31	14	50
Secular Centre	22	31	14	6
Left	22	31	15	3
Orthodox	22	31	15	270
Arab-Israeli	22	31	15	0
Micro	22	31	15	7
Right	22	31	15	96
Secular Centre	22	31	15	11
Left	22	31	16	6
Orthodox	22	31	16	30
Arab-Israeli	22	31	16	0
Micro	22	31	16	3
Right	22	31	16	247
Secular Centre	22	31	16	25
Left	22	31	17	23
Orthodox	22	31	17	76
Arab-Israeli	22	31	17	0
Micro	22	31	17	5
Right	22	31	17	348
Secular Centre	22	31	17	30
Left	22	31	20	5
Orthodox	22	31	20	435
Arab-Israeli	22	31	20	0
Micro	22	31	20	0
Right	22	31	20	44
Secular Centre	22	31	20	3
Left	22	31	21	20
Orthodox	22	31	21	48
Arab-Israeli	22	31	21	0
Micro	22	31	21	2
Right	22	31	21	200
Secular Centre	22	31	21	34
Left	22	31	22	40
Orthodox	22	31	22	98
Arab-Israeli	22	31	22	0
Micro	22	31	22	1
Right	22	31	22	191
Secular Centre	22	31	22	35
Left	22	31	23	21
Orthodox	22	31	23	56
Arab-Israeli	22	31	23	0
Micro	22	31	23	3
Right	22	31	23	294
Secular Centre	22	31	23	67
Left	22	31	24	28
Orthodox	22	31	24	75
Arab-Israeli	22	31	24	0
Micro	22	31	24	1
Right	22	31	24	284
Secular Centre	22	31	24	43
Left	22	31	25	47
Orthodox	22	31	25	130
Arab-Israeli	22	31	25	2
Micro	22	31	25	3
Right	22	31	25	729
Secular Centre	22	31	25	108
Left	22	31	26	10
Orthodox	22	31	26	81
Arab-Israeli	22	31	26	0
Micro	22	31	26	1
Right	22	31	26	174
Secular Centre	22	31	26	24
Left	22	31	28	6
Orthodox	22	31	28	365
Arab-Israeli	22	31	28	0
Micro	22	31	28	5
Right	22	31	28	128
Secular Centre	22	31	28	15
Left	22	31	30	7
Orthodox	22	31	30	289
Arab-Israeli	22	31	30	0
Micro	22	31	30	1
Right	22	31	30	155
Secular Centre	22	31	30	30
Left	22	31	31	42
Orthodox	22	31	31	133
Arab-Israeli	22	31	31	0
Micro	22	31	31	0
Right	22	31	31	326
Secular Centre	22	31	31	39
Left	22	31	32	14
Orthodox	22	31	32	50
Arab-Israeli	22	31	32	1
Micro	22	31	32	1
Right	22	31	32	245
Secular Centre	22	31	32	39
Left	22	31	33	4
Orthodox	22	31	33	383
Arab-Israeli	22	31	33	0
Micro	22	31	33	0
Right	22	31	33	51
Secular Centre	22	31	33	1
Left	22	31	34	19
Orthodox	22	31	34	63
Arab-Israeli	22	31	34	0
Micro	22	31	34	1
Right	22	31	34	295
Secular Centre	22	31	34	29
Left	22	31	35	16
Orthodox	22	31	35	55
Arab-Israeli	22	31	35	0
Micro	22	31	35	1
Right	22	31	35	345
Secular Centre	22	31	35	53
Left	22	31	36	20
Orthodox	22	31	36	128
Arab-Israeli	22	31	36	2
Micro	22	31	36	4
Right	22	31	36	330
Secular Centre	22	31	36	50
Left	22	31	37	11
Orthodox	22	31	37	192
Arab-Israeli	22	31	37	0
Micro	22	31	37	1
Right	22	31	37	198
Secular Centre	22	31	37	33
Left	22	1294	1	0
Orthodox	22	1294	1	136
Arab-Israeli	22	1294	1	0
Micro	22	1294	1	0
Right	22	1294	1	44
