Bloc	Knesset	Votes	Latitude	Longitude
Left	21	6	31.160927	35.019757
Orthodox	21	0	31.160927	35.019757
Arab-Israeli	21	38	31.160927	35.019757
Right	21	0	31.160927	35.019757
Micro	21	3	31.160927	35.019757
Secular Centre	21	15	31.160927	35.019757
Left	21	5	31.160927	35.019757
Orthodox	21	0	31.160927	35.019757
Arab-Israeli	21	74	31.160927	35.019757
Right	21	6	31.160927	35.019757
Micro	21	5	31.160927	35.019757
Secular Centre	21	21	31.160927	35.019757
Left	21	4	31.160927	35.019757
Orthodox	21	0	31.160927	35.019757
Arab-Israeli	21	76	31.160927	35.019757
Right	21	0	31.160927	35.019757
Micro	21	2	31.160927	35.019757
Secular Centre	21	15	31.160927	35.019757
Left	21	48	32.7323987	35.212314
Orthodox	21	1	32.7323987	35.212314
Arab-Israeli	21	86	32.7323987	35.212314
Right	21	20	32.7323987	35.212314
Micro	21	4	32.7323987	35.212314
Secular Centre	21	32	32.7323987	35.212314
Left	21	68	32.7323987	35.212314
Orthodox	21	2	32.7323987	35.212314
Arab-Israeli	21	154	32.7323987	35.212314
Right	21	19	32.7323987	35.212314
Micro	21	1	32.7323987	35.212314
Secular Centre	21	43	32.7323987	35.212314
Left	21	41	32.0654088	34.8029694
Orthodox	21	12	32.0654088	34.8029694
Arab-Israeli	21	77	32.0654088	34.8029694
Right	21	53	32.0654088	34.8029694
Micro	21	2	32.0654088	34.8029694
Secular Centre	21	39	32.0654088	34.8029694
Left	21	58	32.6595831	35.1051293
Orthodox	21	5	32.6595831	35.1051293
Arab-Israeli	21	148	32.6595831	35.1051293
Right	21	35	32.6595831	35.1051293
Micro	21	1	32.6595831	35.1051293
Secular Centre	21	65	32.6595831	35.1051293
Left	21	34	32.0654088	34.8029694
Orthodox	21	7	32.0654088	34.8029694
Arab-Israeli	21	67	32.0654088	34.8029694
Right	21	28	32.0654088	34.8029694
Micro	21	6	32.0654088	34.8029694
Secular Centre	21	46	32.0654088	34.8029694
Left	21	35	32.6595831	35.1051293
Orthodox	21	1	32.6595831	35.1051293
Arab-Israeli	21	156	32.6595831	35.1051293
Right	21	19	32.6595831	35.1051293
Micro	21	2	32.6595831	35.1051293
Secular Centre	21	50	32.6595831	35.1051293
Left	21	30	32.7323987	35.212314
Orthodox	21	3	32.7323987	35.212314
Arab-Israeli	21	94	32.7323987	35.212314
Right	21	37	32.7323987	35.212314
Micro	21	6	32.7323987	35.212314
Secular Centre	21	42	32.7323987	35.212314
Left	21	34	32.0654088	34.8029694
Orthodox	21	1	32.0654088	34.8029694
Arab-Israeli	21	76	32.0654088	34.8029694
Right	21	14	32.0654088	34.8029694
Micro	21	4	32.0654088	34.8029694
Secular Centre	21	37	32.0654088	34.8029694
Left	21	20	32.95803	35.171969
Orthodox	21	4	32.95803	35.171969
Arab-Israeli	21	271	32.95803	35.171969
Right	21	16	32.95803	35.171969
Micro	21	8	32.95803	35.171969
Secular Centre	21	49	32.95803	35.171969
Left	21	19	32.95803	35.171969
Orthodox	21	1	32.95803	35.171969
Arab-Israeli	21	307	32.95803	35.171969
Right	21	6	32.95803	35.171969
Micro	21	6	32.95803	35.171969
Secular Centre	21	29	32.95803	35.171969
Left	21	21	32.95803	35.171969
Orthodox	21	4	32.95803	35.171969
Arab-Israeli	21	164	32.95803	35.171969
Right	21	47	32.95803	35.171969
Micro	21	28	32.95803	35.171969
Secular Centre	21	111	32.95803	35.171969
Left	21	25	32.95803	35.171969
Orthodox	21	7	32.95803	35.171969
Arab-Israeli	21	226	32.95803	35.171969
Right	21	17	32.95803	35.171969
Micro	21	5	32.95803	35.171969
Secular Centre	21	72	32.95803	35.171969
Left	21	23	32.95803	35.171969
Orthodox	21	6	32.95803	35.171969
Arab-Israeli	21	258	32.95803	35.171969
Right	21	16	32.95803	35.171969
Micro	21	12	32.95803	35.171969
Secular Centre	21	75	32.95803	35.171969
Left	21	13	32.95803	35.171969
Orthodox	21	7	32.95803	35.171969
Arab-Israeli	21	265	32.95803	35.171969
Right	21	22	32.95803	35.171969
Micro	21	6	32.95803	35.171969
Secular Centre	21	125	32.95803	35.171969
Left	21	18	32.95803	35.171969
Orthodox	21	12	32.95803	35.171969
Arab-Israeli	21	236	32.95803	35.171969
Right	21	22	32.95803	35.171969
Micro	21	7	32.95803	35.171969
Secular Centre	21	132	32.95803	35.171969
Left	21	13	32.95803	35.171969
Orthodox	21	5	32.95803	35.171969
