Bloc	Knesset	Votes	Latitude	Longitude
Left	18	2	31.160927	35.019757
Micro	18	3	31.160927	35.019757
Right	18	4	31.160927	35.019757
Orthodox	18	1	31.160927	35.019757
Arab-Israeli	18	312	31.160927	35.019757
Secular Centre	18	0	31.160927	35.019757
Left	18	5	31.160927	35.019757
Micro	18	2	31.160927	35.019757
Right	18	4	31.160927	35.019757
Orthodox	18	1	31.160927	35.019757
Arab-Israeli	18	61	31.160927	35.019757
Secular Centre	18	1	31.160927	35.019757
Left	18	12	31.8087522	35.1083532
Micro	18	3	31.8087522	35.1083532
Right	18	6	31.8087522	35.1083532
Orthodox	18	7	31.8087522	35.1083532
Arab-Israeli	18	205	31.8087522	35.1083532
Secular Centre	18	24	31.8087522	35.1083532
Left	18	9	31.8087522	35.1083532
Micro	18	4	31.8087522	35.1083532
Right	18	4	31.8087522	35.1083532
Orthodox	18	0	31.8087522	35.1083532
Arab-Israeli	18	203	31.8087522	35.1083532
Secular Centre	18	20	31.8087522	35.1083532
Left	18	6	31.804176	35.157816
Micro	18	5	31.804176	35.157816
Right	18	8	31.804176	35.157816
Orthodox	18	1	31.804176	35.157816
Arab-Israeli	18	211	31.804176	35.157816
Secular Centre	18	47	31.804176	35.157816
Left	18	9	31.8012256	35.1144114
Micro	18	4	31.8012256	35.1144114
Right	18	6	31.8012256	35.1144114
Orthodox	18	4	31.8012256	35.1144114
Arab-Israeli	18	242	31.8012256	35.1144114
Secular Centre	18	36	31.8012256	35.1144114
Left	18	6	31.804176	35.157816
Micro	18	6	31.804176	35.157816
Right	18	2	31.804176	35.157816
Orthodox	18	0	31.804176	35.157816
Arab-Israeli	18	176	31.804176	35.157816
Secular Centre	18	19	31.804176	35.157816
Left	18	9	31.8012256	35.1144114
Micro	18	6	31.8012256	35.1144114
Right	18	9	31.8012256	35.1144114
Orthodox	18	1	31.8012256	35.1144114
Arab-Israeli	18	184	31.8012256	35.1144114
Secular Centre	18	9	31.8012256	35.1144114
Left	18	35	32.95803	35.171969
Micro	18	1	32.95803	35.171969
Right	18	27	32.95803	35.171969
Orthodox	18	6	32.95803	35.171969
Arab-Israeli	18	276	32.95803	35.171969
Secular Centre	18	31	32.95803	35.171969
Left	18	22	32.95803	35.171969
Micro	18	2	32.95803	35.171969
Right	18	19	32.95803	35.171969
Orthodox	18	10	32.95803	35.171969
Arab-Israeli	18	296	32.95803	35.171969
Secular Centre	18	8	32.95803	35.171969
Left	18	28	32.95803	35.171969
Micro	18	8	32.95803	35.171969
Right	18	26	32.95803	35.171969
Orthodox	18	7	32.95803	35.171969
Arab-Israeli	18	306	32.95803	35.171969
Secular Centre	18	39	32.95803	35.171969
Left	18	5	32.95803	35.171969
Micro	18	2	32.95803	35.171969
Right	18	15	32.95803	35.171969
Orthodox	18	23	32.95803	35.171969
Arab-Israeli	18	342	32.95803	35.171969
Secular Centre	18	19	32.95803	35.171969
Left	18	85	32.95803	35.171969
Micro	18	7	32.95803	35.171969
Right	18	60	32.95803	35.171969
Orthodox	18	45	32.95803	35.171969
Arab-Israeli	18	171	32.95803	35.171969
Secular Centre	18	43	32.95803	35.171969
Left	18	8	32.95803	35.171969
Micro	18	5	32.95803	35.171969
Right	18	13	32.95803	35.171969
Orthodox	18	0	32.95803	35.171969
Arab-Israeli	18	384	32.95803	35.171969
Secular Centre	18	4	32.95803	35.171969
Left	18	2	32.95803	35.171969
Micro	18	2	32.95803	35.171969
Right	18	3	32.95803	35.171969
Orthodox	18	0	32.95803	35.171969
Arab-Israeli	18	258	32.95803	35.171969
Secular Centre	18	9	32.95803	35.171969
Left	18	96	32.95803	35.171969
Micro	18	4	32.95803	35.171969
Right	18	105	32.95803	35.171969
Orthodox	18	14	32.95803	35.171969
Arab-Israeli	18	108	32.95803	35.171969
Secular Centre	18	22	32.95803	35.171969
