Bloc	Knesset	Votes	Latitude	Longitude
Left	16	4	31.750347	34.885915
Orthodox	16	103	31.750347	34.885915
Arab-Israeli	16	1	31.750347	34.885915
Micro	16	5	31.750347	34.885915
Secular Centre	16	1	31.750347	34.885915
Sectoral	16	0	31.750347	34.885915
Right	16	80	31.750347	34.885915
Left	16	45	31.608906	34.714282
Orthodox	16	12	31.608906	34.714282
Arab-Israeli	16	0	31.608906	34.714282
Micro	16	4	31.608906	34.714282
Secular Centre	16	14	31.608906	34.714282
Sectoral	16	3	31.608906	34.714282
Right	16	83	31.608906	34.714282
Left	16	133	30.767942	35.278498
Orthodox	16	7	30.767942	35.278498
Arab-Israeli	16	0	30.767942	35.278498
Micro	16	4	30.767942	35.278498
Secular Centre	16	60	30.767942	35.278498
Sectoral	16	7	30.767942	35.278498
Right	16	63	30.767942	35.278498
Left	16	9	31.568567	34.788161
Orthodox	16	98	31.568567	34.788161
Arab-Israeli	16	1	31.568567	34.788161
Micro	16	1	31.568567	34.788161
Secular Centre	16	0	31.568567	34.788161
Sectoral	16	0	31.568567	34.788161
Right	16	114	31.568567	34.788161
Left	16	137	31.647627	34.873107
Orthodox	16	0	31.647627	34.873107
Arab-Israeli	16	1	31.647627	34.873107
Micro	16	4	31.647627	34.873107
Secular Centre	16	2	31.647627	34.873107
Sectoral	16	12	31.647627	34.873107
Right	16	0	31.647627	34.873107
Left	16	80	31.610982	34.800427
Orthodox	16	9	31.610982	34.800427
Arab-Israeli	16	0	31.610982	34.800427
Micro	16	1	31.610982	34.800427
Secular Centre	16	36	31.610982	34.800427
Sectoral	16	1	31.610982	34.800427
Right	16	73	31.610982	34.800427
Left	16	62	32.033333	34.783333
Orthodox	16	18	32.033333	34.783333
Arab-Israeli	16	0	32.033333	34.783333
Micro	16	0	32.033333	34.783333
Secular Centre	16	21	32.033333	34.783333
Sectoral	16	1	32.033333	34.783333
Right	16	27	32.033333	34.783333
Left	16	9	31.531176	34.914463
Orthodox	16	2	31.531176	34.914463
Arab-Israeli	16	0	31.531176	34.914463
Micro	16	0	31.531176	34.914463
Secular Centre	16	6	31.531176	34.914463
Sectoral	16	3	31.531176	34.914463
Right	16	47	31.531176	34.914463
Left	16	194	31.560907	34.84409
Orthodox	16	4	31.560907	34.84409
Arab-Israeli	16	0	31.560907	34.84409
Micro	16	3	31.560907	34.84409
Secular Centre	16	55	31.560907	34.84409
Sectoral	16	1	31.560907	34.84409
Right	16	33	31.560907	34.84409
Left	16	216	32.9691217	35.5449377
Orthodox	16	16	32.9691217	35.5449377
Arab-Israeli	16	4	32.9691217	35.5449377
Micro	16	8	32.9691217	35.5449377
Secular Centre	16	48	32.9691217	35.5449377
Sectoral	16	33	32.9691217	35.5449377
Right	16	77	32.9691217	35.5449377
Left	16	156	32.9691217	35.5449377
Orthodox	16	33	32.9691217	35.5449377
Arab-Israeli	16	3	32.9691217	35.5449377
Micro	16	10	32.9691217	35.5449377
Secular Centre	16	44	32.9691217	35.5449377
Sectoral	16	15	32.9691217	35.5449377
Right	16	99	32.9691217	35.5449377
Left	16	148	32.9691217	35.5449377
Orthodox	16	23	32.9691217	35.5449377
Arab-Israeli	16	1	32.9691217	35.5449377
Micro	16	6	32.9691217	35.5449377
Secular Centre	16	69	32.9691217	35.5449377
Sectoral	16	16	32.9691217	35.5449377
Right	16	147	32.9691217	35.5449377
Left	16	6	31.721354	34.920683
Orthodox	16	65	31.721354	34.920683
Arab-Israeli	16	0	31.721354	34.920683
Micro	16	3	31.721354	34.920683
Secular Centre	16	2	31.721354	34.920683
Sectoral	16	0	31.721354	34.920683
Right	16	53	31.721354	34.920683
Left	16	171	31.8551604	34.8398889
Orthodox	16	44	31.8551604	34.8398889
Arab-Israeli	16	2	31.8551604	34.8398889
Micro	16	4	31.8551604	34.8398889
Secular Centre	16	97	31.8551604	34.8398889
Sectoral	16	8	31.8551604	34.8398889
Right	16	234	31.8551604	34.8398889
Left	16	164	31.8551604	34.8398889
Orthodox	16	31	31.8551604	34.8398889
Arab-Israeli	16	0	31.8551604	34.8398889
Micro	16	7	31.8551604	34.8398889
Secular Centre	16	108	31.8551604	34.8398889
Sectoral	16	69	31.8551604	34.8398889
Right	16	191	31.8551604	34.8398889
Left	16	80	31.8551604	34.8398889
Orthodox	16	63	31.8551604	34.8398889
Arab-Israeli	16	0	31.8551604	34.8398889
Micro	16	3	31.8551604	34.8398889
Secular Centre	16	57	31.8551604	34.8398889
