Bloc	Knesset	Votes	Latitude	Longitude
Left	14	147	31.560907	34.84409
Orthodox	14	106	31.560907	34.84409
Micro	14	7	31.560907	34.84409
Secular Centre	14	41	31.560907	34.84409
Arab-Israeli	14	2	31.560907	34.84409
Right	14	196	31.560907	34.84409
Sectoral	14	81	31.560907	34.84409
Left	14	85	32.821376	35.087749
Orthodox	14	212	32.821376	35.087749
Micro	14	29	32.821376	35.087749
Secular Centre	14	5	32.821376	35.087749
Arab-Israeli	14	0	32.821376	35.087749
Right	14	173	32.821376	35.087749
Sectoral	14	65	32.821376	35.087749
Left	14	234	32.0653282	34.8821377
Orthodox	14	29	32.0653282	34.8821377
Micro	14	7	32.0653282	34.8821377
Secular Centre	14	20	32.0653282	34.8821377
Arab-Israeli	14	0	32.0653282	34.8821377
Right	14	159	32.0653282	34.8821377
Sectoral	14	48	32.0653282	34.8821377
Left	14	80	32.6588471	35.1098486
Orthodox	14	154	32.6588471	35.1098486
Micro	14	21	32.6588471	35.1098486
Secular Centre	14	8	32.6588471	35.1098486
Arab-Israeli	14	1	32.6588471	35.1098486
Right	14	163	32.6588471	35.1098486
Sectoral	14	3	32.6588471	35.1098486
Left	14	44	32.6595379	35.1110946
Orthodox	14	264	32.6595379	35.1110946
Micro	14	11	32.6595379	35.1110946
Secular Centre	14	7	32.6595379	35.1110946
Arab-Israeli	14	2	32.6595379	35.1110946
Right	14	121	32.6595379	35.1110946
Sectoral	14	8	32.6595379	35.1110946
Left	14	112	32.644516	35.11918
Orthodox	14	71	32.644516	35.11918
Micro	14	24	32.644516	35.11918
Secular Centre	14	2	32.644516	35.11918
Arab-Israeli	14	2	32.644516	35.11918
Right	14	128	32.644516	35.11918
Sectoral	14	92	32.644516	35.11918
Left	14	163	32.504062	35.457622
Orthodox	14	73	32.504062	35.457622
Micro	14	24	32.504062	35.457622
Secular Centre	14	8	32.504062	35.457622
Arab-Israeli	14	2	32.504062	35.457622
Right	14	119	32.504062	35.457622
Sectoral	14	52	32.504062	35.457622
Left	14	319	32.8499259	35.5239591
Orthodox	14	27	32.8499259	35.5239591
Micro	14	7	32.8499259	35.5239591
Secular Centre	14	30	32.8499259	35.5239591
Arab-Israeli	14	2	32.8499259	35.5239591
Right	14	129	32.8499259	35.5239591
Sectoral	14	16	32.8499259	35.5239591
Left	14	48	32.682305	35.597657
Orthodox	14	180	32.682305	35.597657
Micro	14	12	32.682305	35.597657
Secular Centre	14	4	32.682305	35.597657
Arab-Israeli	14	0	32.682305	35.597657
Right	14	174	32.682305	35.597657
Sectoral	14	5	32.682305	35.597657
Left	14	32	32.686919	35.604656
Orthodox	14	290	32.686919	35.604656
Micro	14	15	32.686919	35.604656
