Bloc,Knesset,Votes,Latitude,Longitude
Left,18,30,32.95803,35.171969
Micro,18,2,32.95803,35.171969
Right,18,68,32.95803,35.171969
Orthodox,18,5,32.95803,35.171969
Arab-Israeli,18,219,32.95803,35.171969
Secular Centre,18,31,32.95803,35.171969
Left,18,100,32.2807061,34.8835505
Micro,18,23,32.2807061,34.8835505
Right,18,164,32.2807061,34.8835505
Orthodox,18,16,32.2807061,34.8835505
Arab-Israeli,18,1,32.2807061,34.8835505
Secular Centre,18,149,32.2807061,34.8835505
Left,18,12,32.526932,35.163213
Micro,18,4,32.526932,35.163213
Right,18,0,32.526932,35.163213
Orthodox,18,2,32.526932,35.163213
Arab-Israeli,18,237,32.526932,35.163213
Secular Centre,18,3,32.526932,35.163213
Left,18,0,32.526932,35.163213
Micro,18,0,32.526932,35.163213
Right,18,0,32.526932,35.163213
Orthodox,18,0,32.526932,35.163213
Arab-Israeli,18,552,32.526932,35.163213
Secular Centre,18,0,32.526932,35.163213
Left,18,2,32.517127,35.148529
Micro,18,5,32.517127,35.148529
Right,18,2,32.517127,35.148529
Orthodox,18,2,32.517127,35.148529
Arab-Israeli,18,249,32.517127,35.148529
Secular Centre,18,0,32.517127,35.148529
Left,18,0,32.516816,35.165234
Micro,18,2,32.516816,35.165234
Right,18,0,32.516816,35.165234
Orthodox,18,0,32.516816,35.165234
Arab-Israeli,18,348,32.516816,35.165234
Secular Centre,18,0,32.516816,35.165234
Left,18,15,31.3206527,34.6177053
Micro,18,5,31.3206527,34.6177053
Right,18,98,31.3206527,34.6177053
Orthodox,18,370,31.3206527,34.6177053
Arab-Israeli,18,0,31.3206527,34.6177053
Secular Centre,18,20,31.3206527,34.6177053
Left,18,19,31.311546,34.6186866
Micro,18,9,31.311546,34.6186866
Right,18,236,31.311546,34.6186866
Orthodox,18,22,31.311546,34.6186866
Arab-Israeli,18,0,31.311546,34.6186866
Secular Centre,18,50,31.311546,34.6186866
Left,18,23,31.3151245,34.61864
Micro,18,9,31.3151245,34.61864
Right,18,199,31.3151245,34.61864
Orthodox,18,108,31.3151245,34.61864
Arab-Israeli,18,0,31.3151245,34.61864
Secular Centre,18,27,31.3151245,34.61864
Left,18,51,32.0259822,34.8644212
Micro,18,6,32.0259822,34.8644212
Right,18,182,32.0259822,34.8644212
Orthodox,18,57,32.0259822,34.8644212
Arab-Israeli,18,0,32.0259822,34.8644212
Secular Centre,18,70,32.0259822,34.8644212
Left,18,13,32.0259822,34.8644212
Micro,18,6,32.0259822,34.8644212
Right,18,128,32.0259822,34.8644212
Orthodox,18,83,32.0259822,34.8644212
Arab-Israeli,18,1,32.0259822,34.8644212
Secular Centre,18,41,32.0259822,34.8644212
Left,18,10,32.0316876,34.8623218
Micro,18,6,32.0316876,34.8623218
Right,18,137,32.0316876,34.8623218
Orthodox,18,127,32.0316876,34.8623218
Arab-Israeli,18,0,32.0316876,34.8623218
Secular Centre,18,49,32.0316876,34.8623218
Left,18,20,32.0259822,34.8644212
Micro,18,8,32.0259822,34.8644212
Right,18,155,32.0259822,34.8644212
Orthodox,18,46,32.0259822,34.8644212
Arab-Israeli,18,0,32.0259822,34.8644212
Secular Centre,18,93,32.0259822,34.8644212
Left,18,8,32.5090181,34.9199977
Micro,18,9,32.5090181,34.9199977
Right,18,203,32.5090181,34.9199977
Orthodox,18,36,32.5090181,34.9199977
Arab-Israeli,18,0,32.5090181,34.9199977
Secular Centre,18,41,32.5090181,34.9199977
Left,18,16,32.50863,34.9184894
Micro,18,7,32.50863,34.9184894
Right,18,260,32.50863,34.9184894
Orthodox,18,5,32.50863,34.9184894
Arab-Israeli,18,1,32.50863,34.9184894
Secular Centre,18,49,32.50863,34.9184894
Left,18,24,32.0264243,34.8075107
Micro,18,4,32.0264243,34.8075107
Right,18,160,32.0264243,34.8075107
Orthodox,18,29,32.0264243,34.8075107
Arab-Israeli,18,2,32.0264243,34.8075107
Secular Centre,18,98,32.0264243,34.8075107
Left,18,11,29.5601698,34.9453269
Micro,18,11,29.5601698,34.9453269
Right,18,111,29.5601698,34.9453269
Orthodox,18,40,29.5601698,34.9453269
Arab-Israeli,18,1,29.5601698,34.9453269
Secular Centre,18,71,29.5601698,34.9453269
Left,18,17,29.5601698,34.9453269
Micro,18,7,29.5601698,34.9453269
Right,18,82,29.5601698,34.9453269
Orthodox,18,14,29.5601698,34.9453269
Arab-Israeli,18,0,29.5601698,34.9453269
Secular Centre,18,44,29.5601698,34.9453269
Left,18,16,29.5559095,34.9429408
Micro,18,9,29.5559095,34.9429408
Right,18,107,29.5559095,34.9429408
Orthodox,18,24,29.5559095,34.9429408
Arab-Israeli,18,2,29.5559095,34.9429408
Secular Centre,18,87,29.5559095,34.9429408
Left,18,49,29.5578383,34.949069
Micro,18,14,29.5578383,34.949069
Right,18,178,29.5578383,34.949069
Orthodox,18,6,29.5578383,34.949069
Arab-Israeli,18,5,29.5578383,34.949069
Secular Centre,18,132,29.5578383,34.949069
Left,18,35,29.5638466,34.9528804
Micro,18,9,29.5638466,34.9528804
Right,18,93,29.5638466,34.9528804
Orthodox,18,18,29.5638466,34.9528804
Arab-Israeli,18,2,29.5638466,34.9528804
Secular Centre,18,79,29.5638466,34.9528804
Left,18,16,29.5638466,34.9528804
Micro,18,5,29.5638466,34.9528804
Right,18,113,29.5638466,34.9528804
Orthodox,18,16,29.5638466,34.9528804
