Bloc,Knesset,Votes,Latitude,Longitude
Left,17,10,31.750347,34.885915
Orthodox,17,96,31.750347,34.885915
Arab-Israeli,17,0,31.750347,34.885915
Micro,17,1,31.750347,34.885915
Sectoral,17,3,31.750347,34.885915
Right,17,60,31.750347,34.885915
Secular Centre,17,6,31.750347,34.885915
Left,17,69,31.608906,34.714282
Orthodox,17,3,31.608906,34.714282
Arab-Israeli,17,0,31.608906,34.714282
Micro,17,1,31.608906,34.714282
Sectoral,17,20,31.608906,34.714282
Right,17,38,31.608906,34.714282
Secular Centre,17,42,31.608906,34.714282
Left,17,80,30.767942,35.278498
Orthodox,17,5,30.767942,35.278498
Arab-Israeli,17,0,30.767942,35.278498
Micro,17,17,30.767942,35.278498
Sectoral,17,44,30.767942,35.278498
Right,17,41,30.767942,35.278498
Secular Centre,17,111,30.767942,35.278498
Left,17,17,31.568567,34.788161
Orthodox,17,77,31.568567,34.788161
Arab-Israeli,17,0,31.568567,34.788161
Micro,17,1,31.568567,34.788161
Sectoral,17,4,31.568567,34.788161
Right,17,71,31.568567,34.788161
Secular Centre,17,18,31.568567,34.788161
Left,17,120,31.647627,34.873107
Orthodox,17,1,31.647627,34.873107
Arab-Israeli,17,0,31.647627,34.873107
Micro,17,0,31.647627,34.873107
Sectoral,17,12,31.647627,34.873107
Right,17,1,31.647627,34.873107
Secular Centre,17,35,31.647627,34.873107
Left,17,66,31.610982,34.800427
Orthodox,17,4,31.610982,34.800427
Arab-Israeli,17,1,31.610982,34.800427
Micro,17,6,31.610982,34.800427
Sectoral,17,25,31.610982,34.800427
Right,17,29,31.610982,34.800427
Secular Centre,17,68,31.610982,34.800427
Left,17,48,32.033333,34.783333
Orthodox,17,3,32.033333,34.783333
Arab-Israeli,17,1,32.033333,34.783333
Micro,17,1,32.033333,34.783333
Sectoral,17,16,32.033333,34.783333
Right,17,34,32.033333,34.783333
Secular Centre,17,25,32.033333,34.783333
Left,17,14,31.531176,34.914463
Orthodox,17,0,31.531176,34.914463
Arab-Israeli,17,0,31.531176,34.914463
Micro,17,0,31.531176,34.914463
Sectoral,17,20,31.531176,34.914463
Right,17,16,31.531176,34.914463
Secular Centre,17,26,31.531176,34.914463
Left,17,166,31.560907,34.84409
Orthodox,17,1,31.560907,34.84409
Arab-Israeli,17,1,31.560907,34.84409
Micro,17,8,31.560907,34.84409
Sectoral,17,13,31.560907,34.84409
Right,17,23,31.560907,34.84409
Secular Centre,17,91,31.560907,34.84409
Left,17,178,32.9691217,35.5449377
Orthodox,17,4,32.9691217,35.5449377
Arab-Israeli,17,6,32.9691217,35.5449377
Micro,17,5,32.9691217,35.5449377
Sectoral,17,66,32.9691217,35.5449377
Right,17,40,32.9691217,35.5449377
Secular Centre,17,96,32.9691217,35.5449377
Left,17,167,32.9691217,35.5449377
Orthodox,17,14,32.9691217,35.5449377
Arab-Israeli,17,1,32.9691217,35.5449377
Micro,17,16,32.9691217,35.5449377
Sectoral,17,43,32.9691217,35.5449377
Right,17,64,32.9691217,35.5449377
Secular Centre,17,114,32.9691217,35.5449377
Left,17,129,32.9691217,35.5449377
Orthodox,17,17,32.9691217,35.5449377
Arab-Israeli,17,0,32.9691217,35.5449377
Micro,17,7,32.9691217,35.5449377
Sectoral,17,50,32.9691217,35.5449377
Right,17,70,32.9691217,35.5449377
Secular Centre,17,140,32.9691217,35.5449377
Left,17,47,31.721354,34.920683
Orthodox,17,58,31.721354,34.920683
Arab-Israeli,17,0,31.721354,34.920683
Micro,17,2,31.721354,34.920683
Sectoral,17,1,31.721354,34.920683
Right,17,18,31.721354,34.920683
Secular Centre,17,13,31.721354,34.920683
Left,17,96,31.8551604,34.8398889
Orthodox,17,31,31.8551604,34.8398889
Arab-Israeli,17,0,31.8551604,34.8398889
Micro,17,7,31.8551604,34.8398889
Sectoral,17,40,31.8551604,34.8398889
Right,17,71,31.8551604,34.8398889
Secular Centre,17,138,31.8551604,34.8398889
Left,17,65,31.8551604,34.8398889
Orthodox,17,6,31.8551604,34.8398889
Arab-Israeli,17,0,31.8551604,34.8398889
Micro,17,7,31.8551604,34.8398889
Sectoral,17,39,31.8551604,34.8398889
Right,17,89,31.8551604,34.8398889
Secular Centre,17,157,31.8551604,34.8398889
Left,17,82,31.8551604,34.8398889
Orthodox,17,21,31.8551604,34.8398889
Arab-Israeli,17,2,31.8551604,34.8398889
Micro,17,12,31.8551604,34.8398889
Sectoral,17,40,31.8551604,34.8398889
Right,17,69,31.8551604,34.8398889
Secular Centre,17,102,31.8551604,34.8398889
Left,17,173,31.8551604,34.8398889
Orthodox,17,6,31.8551604,34.8398889
Arab-Israeli,17,0,31.8551604,34.8398889
Micro,17,16,31.8551604,34.8398889
Sectoral,17,88,31.8551604,34.8398889
Right,17,89,31.8551604,34.8398889
Secular Centre,17,189,31.8551604,34.8398889
Left,17,73,31.8551604,34.8398889
Orthodox,17,62,31.8551604,34.8398889
Arab-Israeli,17,1,31.8551604,34.8398889
Micro,17,20,31.8551604,34.8398889
Sectoral,17,31,31.8551604,34.8398889
Right,17,77,31.8551604,34.8398889
Secular Centre,17,96,31.8551604,34.8398889
Left,17,130,31.8551604,34.8398889
Orthodox,17,11,31.8551604,34.8398889
Arab-Israeli,17,0,31.8551604,34.8398889
Micro,17,3,31.8551604,34.8398889
Sectoral,17,54,31.8551604,34.8398889
Right,17,50,31.8551604,34.8398889
Secular Centre,17,161,31.8551604,34.8398889
Left,17,210,31.8551604,34.8398889
Orthodox,17,8,31.8551604,34.8398889
Arab-Israeli,17,1,31.8551604,34.8398889
Micro,17,21,31.8551604,34.8398889
Sectoral,17,55,31.8551604,34.8398889
Right,17,90,31.8551604,34.8398889
Secular Centre,17,135,31.8551604,34.8398889
Left,17,89,31.8551604,34.8398889
Orthodox,17,21,31.8551604,34.8398889
Arab-Israeli,17,0,31.8551604,34.8398889
Micro,17,8,31.8551604,34.8398889
Sectoral,17,41,31.8551604,34.8398889
Right,17,46,31.8551604,34.8398889
Secular Centre,17,98,31.8551604,34.8398889
Left,17,126,31.8551604,34.8398889
Orthodox,17,14,31.8551604,34.8398889
