Bloc	Knesset	Votes	Latitude	Longitude
Left	17	45	31.560907	34.84409
Orthodox	17	38	31.560907	34.84409
Arab-Israeli	17	0	31.560907	34.84409
Micro	17	10	31.560907	34.84409
Sectoral	17	23	31.560907	34.84409
Right	17	98	31.560907	34.84409
Secular Centre	17	96	31.560907	34.84409
Left	17	40	32.8214139	35.0871647
Orthodox	17	72	32.8214139	35.0871647
Arab-Israeli	17	3	32.8214139	35.0871647
Micro	17	8	32.8214139	35.0871647
Sectoral	17	9	32.8214139	35.0871647
Right	17	143	32.8214139	35.0871647
Secular Centre	17	33	32.8214139	35.0871647
Left	17	92	32.0651662	34.8888639
Orthodox	17	14	32.0651662	34.8888639
Arab-Israeli	17	1	32.0651662	34.8888639
Micro	17	10	32.0651662	34.8888639
Sectoral	17	45	32.0651662	34.8888639
Right	17	94	32.0651662	34.8888639
Secular Centre	17	94	32.0651662	34.8888639
Left	17	20	32.6595379	35.1110946
Orthodox	17	113	32.6595379	35.1110946
Arab-Israeli	17	1	32.6595379	35.1110946
Micro	17	15	32.6595379	35.1110946
Sectoral	17	16	32.6595379	35.1110946
Right	17	59	32.6595379	35.1110946
Secular Centre	17	46	32.6595379	35.1110946
Left	17	26	32.6595379	35.1110946
Orthodox	17	151	32.6595379	35.1110946
Arab-Israeli	17	2	32.6595379	35.1110946
Micro	17	17	32.6595379	35.1110946
Sectoral	17	12	32.6595379	35.1110946
Right	17	85	32.6595379	35.1110946
Secular Centre	17	43	32.6595379	35.1110946
Left	17	28	32.644516	35.11918
Orthodox	17	37	32.644516	35.11918
Arab-Israeli	17	0	32.644516	35.11918
Micro	17	3	32.644516	35.11918
Sectoral	17	19	32.644516	35.11918
Right	17	133	32.644516	35.11918
Secular Centre	17	76	32.644516	35.11918
Left	17	65	32.799998	35.50328
Orthodox	17	107	32.799998	35.50328
Arab-Israeli	17	0	32.799998	35.50328
Micro	17	15	32.799998	35.50328
Sectoral	17	27	32.799998	35.50328
Right	17	157	32.799998	35.50328
Secular Centre	17	77	32.799998	35.50328
Left	17	36	32.504062	35.457622
Orthodox	17	22	32.504062	35.457622
Arab-Israeli	17	1	32.504062	35.457622
Micro	17	8	32.504062	35.457622
Sectoral	17	13	32.504062	35.457622
Right	17	150	32.504062	35.457622
Secular Centre	17	54	32.504062	35.457622
Left	17	122	32.848666	35.523152
Orthodox	17	11	32.848666	35.523152
Arab-Israeli	17	1	32.848666	35.523152
Micro	17	17	32.848666	35.523152
Sectoral	17	62	32.848666	35.523152
Right	17	67	32.848666	35.523152
Secular Centre	17	106	32.848666	35.523152
Left	17	29	32.8096935	34.9933693
Orthodox	17	112	32.8096935	34.9933693
Arab-Israeli	17	0	32.8096935	34.9933693
Micro	17	9	32.8096935	34.9933693
Sectoral	17	21	32.8096935	34.9933693
Right	17	109	32.8096935	34.9933693
Secular Centre	17	28	32.8096935	34.9933693
Left	17	60	32.686919	35.604656
Orthodox	17	130	32.686919	35.604656
Arab-Israeli	17	0	32.686919	35.604656
Micro	17	10	32.686919	35.604656
Sectoral	17	23	32.686919	35.604656
Right	17	159	32.686919	35.604656
Secular Centre	17	37	32.686919	35.604656
Left	17	117	32.558698	35.55277299999999
Orthodox	17	11	32.558698	35.55277299999999
Arab-Israeli	17	0	32.558698	35.55277299999999
Micro	17	6	32.558698	35.55277299999999
Sectoral	17	96	32.558698	35.55277299999999
Right	17	55	32.558698	35.55277299999999
Secular Centre	17	163	32.558698	35.55277299999999
Left	17	18	32.49407	35.550767
Orthodox	17	1	32.49407	35.550767
Arab-Israeli	17	371	32.49407	35.550767
Micro	17	0	32.49407	35.550767
Sectoral	17	2	32.49407	35.550767
Right	17	3	32.49407	35.550767
Secular Centre	17	16	32.49407	35.550767
Left	17	10	32.783393	35.640119
Orthodox	17	1	32.783393	35.640119
Arab-Israeli	17	404	32.783393	35.640119
Micro	17	1	32.783393	35.640119
Sectoral	17	0	32.783393	35.640119
Right	17	0	32.783393	35.640119
Secular Centre	17	0	32.783393	35.640119
Left	17	43	33.087634	35.17343
Orthodox	17	50	33.087634	35.17343
Arab-Israeli	17	0	33.087634	35.17343
Micro	17	7	33.087634	35.17343
