Bloc	Knesset	Votes	Latitude	Longitude
Left	15	135	31.560907	34.84409
Orthodox	15	137	31.560907	34.84409
Arab-Israeli	15	0	31.560907	34.84409
Micro	15	20	31.560907	34.84409
Right	15	150	31.560907	34.84409
Secular Centre	15	119	31.560907	34.84409
Sectoral	15	95	31.560907	34.84409
Left	15	62	32.8214139	35.0871647
Orthodox	15	192	32.8214139	35.0871647
Arab-Israeli	15	1	32.8214139	35.0871647
Micro	15	20	32.8214139	35.0871647
Right	15	99	32.8214139	35.0871647
Secular Centre	15	24	32.8214139	35.0871647
Sectoral	15	86	32.8214139	35.0871647
Left	15	183	32.0651662	34.8888639
Orthodox	15	47	32.0651662	34.8888639
Arab-Israeli	15	3	32.0651662	34.8888639
Micro	15	9	32.0651662	34.8888639
Right	15	78	32.0651662	34.8888639
Secular Centre	15	78	32.0651662	34.8888639
Sectoral	15	69	32.0651662	34.8888639
Left	15	50	32.6595379	35.1110946
Orthodox	15	159	32.6595379	35.1110946
Arab-Israeli	15	1	32.6595379	35.1110946
Micro	15	14	32.6595379	35.1110946
Right	15	135	32.6595379	35.1110946
Secular Centre	15	30	32.6595379	35.1110946
Sectoral	15	8	32.6595379	35.1110946
Left	15	37	32.6595379	35.1110946
Orthodox	15	256	32.6595379	35.1110946
Arab-Israeli	15	0	32.6595379	35.1110946
Micro	15	43	32.6595379	35.1110946
Right	15	92	32.6595379	35.1110946
Secular Centre	15	37	32.6595379	35.1110946
Sectoral	15	7	32.6595379	35.1110946
Left	15	72	32.644516	35.11918
Orthodox	15	90	32.644516	35.11918
Arab-Israeli	15	0	32.644516	35.11918
Micro	15	16	32.644516	35.11918
Right	15	93	32.644516	35.11918
Secular Centre	15	34	32.644516	35.11918
Sectoral	15	114	32.644516	35.11918
Left	15	110	32.504062	35.457622
Orthodox	15	64	32.504062	35.457622
Arab-Israeli	15	2	32.504062	35.457622
Micro	15	15	32.504062	35.457622
Right	15	101	32.504062	35.457622
Secular Centre	15	55	32.504062	35.457622
Sectoral	15	84	32.504062	35.457622
Left	15	261	32.848666	35.523152
Orthodox	15	21	32.848666	35.523152
Arab-Israeli	15	2	32.848666	35.523152
Micro	15	7	32.848666	35.523152
Right	15	81	32.848666	35.523152
Secular Centre	15	103	32.848666	35.523152
Sectoral	15	20	32.848666	35.523152
Left	15	37	32.8096935	34.9933693
Orthodox	15	252	32.8096935	34.9933693
Arab-Israeli	15	3	32.8096935	34.9933693
