Bloc	Knesset	Votes	Latitude	Longitude
Left	13	5	31.750347	34.885915
Orthodox	13	127	31.750347	34.885915
Micro	13	11	31.750347	34.885915
Arab-Israeli	13	0	31.750347	34.885915
Right	13	81	31.750347	34.885915
Left	13	66	31.610485	34.714493
Orthodox	13	9	31.610485	34.714493
Micro	13	2	31.610485	34.714493
Arab-Israeli	13	0	31.610485	34.714493
Right	13	54	31.610485	34.714493
Left	13	178	30.767942	35.278498
Orthodox	13	0	30.767942	35.278498
Micro	13	1	30.767942	35.278498
Arab-Israeli	13	0	30.767942	35.278498
Right	13	56	30.767942	35.278498
Left	13	8	31.568567	34.788161
Orthodox	13	138	31.568567	34.788161
Micro	13	2	31.568567	34.788161
Arab-Israeli	13	0	31.568567	34.788161
Right	13	98	31.568567	34.788161
Left	13	166	31.647627	34.873107
Orthodox	13	1	31.647627	34.873107
Micro	13	1	31.647627	34.873107
Arab-Israeli	13	0	31.647627	34.873107
Right	13	0	31.647627	34.873107
Left	13	117	31.610982	34.800427
Orthodox	13	2	31.610982	34.800427
Micro	13	2	31.610982	34.800427
Arab-Israeli	13	0	31.610982	34.800427
Right	13	52	31.610982	34.800427
Left	13	93	32.0283105	34.7778564
Orthodox	13	29	32.0283105	34.7778564
Micro	13	0	32.0283105	34.7778564
Arab-Israeli	13	0	32.0283105	34.7778564
Right	13	37	32.0283105	34.7778564
Left	13	38	31.531176	34.914463
Orthodox	13	1	31.531176	34.914463
Micro	13	1	31.531176	34.914463
Arab-Israeli	13	0	31.531176	34.914463
Right	13	88	31.531176	34.914463
Left	13	214	31.560907	34.84409
Orthodox	13	1	31.560907	34.84409
Micro	13	2	31.560907	34.84409
Arab-Israeli	13	0	31.560907	34.84409
Right	13	26	31.560907	34.84409
Left	13	292	32.968586	35.544182
Orthodox	13	31	32.968586	35.544182
Micro	13	4	32.968586	35.544182
Arab-Israeli	13	3	32.968586	35.544182
Right	13	105	32.968586	35.544182
Left	13	259	32.968586	35.544182
Orthodox	13	20	32.968586	35.544182
Micro	13	11	32.968586	35.544182
Arab-Israeli	13	1	32.968586	35.544182
Right	13	199	32.968586	35.544182
Left	13	30	31.721354	34.920683
Orthodox	13	62	31.721354	34.920683
Micro	13	4	31.721354	34.920683
Arab-Israeli	13	0	31.721354	34.920683
Right	13	37	31.721354	34.920683
Left	13	246	31.8536297	34.836651
Left	13	246	31.8536297	34.836651
Orthodox	13	63	31.8536297	34.836651
