Party ID	Excel Name	Ballot Symbol	Party Name	Knesset #	Bloc
138	חץ	חץ	Hetz	17	Micro
139	טב	טב	National Union–National Religious Party	17	Right
140	יש	יש	Shinui	17	Micro
141	כ	כ	Jewish National Front	17	Micro
142	כן	כן	Kadima	17	Secular Centre
143	כץ	כץ	Tzomet	17	Micro
144	ל	ל	Yisrael Beiteinu	17	Right
145	מחל	מחל	Likud	17	Right
146	מרצ	מרצ	Meretz-Yachad	17	Left
147	נץ	נץ	Herut – The National Movement	17	Micro
148	עם	עם	United Arab List–Ta'al	17	Arab-Israeli
149	פ	פ	Tafnit	17	Micro
150	פז	פז	Lev	17	Micro
151	פכ	פכ	Oz LaAniyim	17	Micro
152	פץ	פץ	HaLev	17	Micro
153	ף	ף	Leader	17	Micro
154	צה	צה	The New Zionism	17	Micro
155	ק	ק	Da'am Workers Party	17	Micro
156	קז	קז	Justice for All	17	Micro
157	קנ	קנ	Ale Yarok	17	Sectoral
158	קפ	קפ	Arab National Party	17	Micro
159	רק	רק	Green Party	17	Sectoral
160	שס	שס	Shas	17	Orthodox
161	אמת	אמת	Labour Party	18	Left
162	אר	אר	Or	18	Micro
163	ב	ב	The Jewish Home	18	Right
164	ג	ג	United Torah Judaism	18	Orthodox
165	ד	ד	Balad	18	Arab-Israeli
166	ה	ה	The Green Movement–Meimad	18	Micro
167	ו	ו	Hadash	18	Arab-Israeli
168	זך	זך	Gil	18	Micro
169	חי	חי	Yisrael Hazaka	18	Micro
170	ט	ט	National Union	18	Right
171	ים	ים	HaYisraelim	18	Micro
172	ינ	ינ	Lev LaOlim	18	Micro
173	יק	יק	Holocaust Survivors and Ale Yarok Alumni	18	Micro
174	כן	כן	Kadima	18	Secular Centre
175	ל	ל	Yisrael Beiteinu	18	Right
176	מחל	מחל	Likud	18	Right
177	מרצ	מרצ	New Movement-Meretz	18	Left
178	נ	נ	Yisrael HaMithadeshet	18	Micro
179	נפ	נפ	Ahrayut	18	Micro
180	נץ	נץ	Lazuz	18	Micro
181	נר	נר	Lehem	18	Micro
182	עם	עם	United Arab List–Ta'al	18	Arab-Israeli
183	פ	פ	Koah LeHashpi'a	18	Micro
184	פי	פי	Brit Olam	18	Micro
185	פק	פק	Man's Rights in the Family Party	18	Micro
186	ץ	ץ	Tzomet	18	Micro
187	צי	צי	Tzabar	18	Micro
188	ק	ק	Da'am Workers Party	18	Micro
189	קנ	קנ	Ale Yarok	18	Micro
190	קפ	קפ	Koah HaKesef	18	Micro
191	קץ	קץ	Leader	18	Micro
192	רק	רק	The Greens	18	Micro
193	שס	שס	Shas	18	Orthodox
194	אמת	אמת	Labour Party	19	Left
195	ג	ג	United Torah Judaism	19	Orthodox
196	ד	ד	Balad	19	Arab-Israeli
197	הי	הי	Moreshet Avot	19	Micro
198	הפ	הפ	Living with Dignity	19	Micro
199	הק	הק	Hope for Change	19	Micro
200	ו	ו	Hadash	19	Arab-Israeli
201	ז	ז	Eretz Hadasha	19	Micro
202	זך	זך	Dor	19	Micro
203	טב	טב	The Jewish Home	19	Right
204	יק	יק	HaYisraelim	19	Micro
205	כן	כן	Kadima	19	Secular Centre
206	מחל	מחל	Likud Yisrael Beiteinu	19	Right
207	מרץ	מרץ	Meretz	19	Left
208	נ	נ	Brit Olam	19	Micro
209	ני	ני	Or	19	Micro
210	נץ	נץ	Otzma LeYisrael	19	Right
211	נק	נק	Leader	19	Micro
212	עם	עם	United Arab List	19	Arab-Israeli
213	פ	פ	Pirate Party	19	Micro
214	פה	פה	Yesh Atid	19	Secular Centre
215	פז	פז	Koah Lehashpi'a	19	Micro
216	פי	פי	Finance Party	19	Micro
217	פנ	פנ	We are Brothers	19	Micro
218	פץ	פץ	We are all Friends	19	Micro
219	ץ	ץ	Am Shalem	19	Orthodox
220	צפ	צפ	Hatnua	19	Secular Centre
221	צק	צק	Social Justice	19	Micro
222	ק	ק	Da'am Workers Party	19	Micro
223	קנ	קנ	Ale Yarok–The Liberal List	19	Sectoral
224	רק	רק	The Greens and the Youth	19	Micro
225	שס	שס	Shas	19	Orthodox
226	אמת	אמת	Zionist Union	20	Left
227	ג	ג	United Torah Judaism	20	Orthodox
228	ודעם	ודעם	Joint List	20	Arab-Israeli
229	ז	ז	Economy Party	20	Micro
230	זך	זך	Democratura	20	Micro
231	זץ	זץ	Brit Olam	20	Micro
232	טב	טב	The Jewish Home	20	Right
233	י	י	Living with Dignity	20	Micro
234	יז	יז	Social Leadership	20	Micro
235	יץ	יץ	Hope for Change	20	Micro
236	כ	כ	Kulanu	20	Secular Centre
237	ל	ל	Yisrael Beiteinu	20	Right
238	מחל	מחל	Likud	20	Right
239	מרצ	מרצ	Meretz	20	Left
240	נז	נז	U'Bizchutan	20	Micro
241	ני	ני	Or	20	Micro
242	נץ	נץ	Flower Party	20	Micro
243	ע	ע	Arab List (Mada–Arab National Party)	20	Micro
244	פה	פה	Yesh Atid	20	Secular Centre
245	ף	ף	Pirate Party	20	Micro
246	ףץ	ףץ	We Are All Friends Na Nach	20	Micro
247	קנ	קנ	Ale Yarok	20	Sectoral
248	קץ	קץ	Yachad	20	Orthodox
249	רק	רק	The Greens	20	Micro
250	שס	שס	Shas	20	Orthodox
251	אמת	אמת	Labour Party	21	Left
252	ג	ג	United Torah Judaism	21	Orthodox
253	דעם	דעם	United Arab List–Balad	21	Arab-Israeli
254	ום	ום	Hadash–Ta'al	21	Arab-Israeli
255	ז	ז	Zehut	21	Right
256	זי	זי	Veteran Civil	21	Micro
257	זך	זך	Brit Olam	21	Micro
258	זץ	זץ	Tzomet	21	Micro
259	טב	טב	Union of Right-Wing Parties	21	Right
260	י	י	Yashar	21	Micro
261	יז	יז	Bible Bloc	21	Micro
262	ין	ין	Ihud Bnei HaBrit	21	Micro
263	יץ	יץ	Ahrayut LaMeyasdim	21	Micro
264	כ	כ	Kulanu	21	Secular Centre
265	ךק	ךק	Hope for Change	21	Micro
266	ל	ל	Yisrael Beiteinu	21	Right
267	מחל	מחל	Likud	21	Right
268	מרצ	מרצ	Meretz	21	Left
269	נ	נ	New Right	21	Right
270	נז	נז	Zekhuyotenu BeKoleinu	21	Micro
271	נץ	נץ	Shield of Israel	21	Micro
272	נר	נר	Gesher	21	Secular Centre
273	ן	ן	Social Security	21	Micro
274	ןך	ןך	Human Dignity	21	Micro
275	ןנ	ןנ	Social Leadership	21	Micro
276	פה	פה	Blue and White	21	Secular Centre
277	ףז	ףז	Pirate Party	21	Micro
278	ףי	ףי	Pashut Ahava	21	Micro
279	ףך	ףך	Education	21	Micro
280	ףנ	ףנ	Shavim	21	Micro
281	ףץ	ףץ	We are all friends Na Nach	21	Micro
282	צק	צק	Social Justice	21	Micro
283	ץ	ץ	Green Economy – One Nation	21	Micro
284	ץי	ץי	Ani VeAta	21	Micro
285	ק	ק	Justice for All	21	Micro
